作者Alison5566 (艾利森)看板Stock標題[新聞] 美股意外長紅 空頭損失慘重時間Tue Dec 26 14:08:09 2023

推 abc0922001  : 台灣也損失一個優秀的空頭大老師，嗚呼哀哉 12/26 14:11

推 hoodi       : 美國空頭太廢了吧 台灣空頭人人喊大賺 12/26 14:12

→ hoodi       : 台灣空頭：一堆中小跌爛 放空根本賺翻 12/26 14:13

推 cage820518  : 高點到了 12/26 14:18

推 mamorui     : OP? 12/26 14:19

推 howow       : 長綠吧 12/26 14:20

推 Healine     : 確實 龍哥都畢業了 12/26 14:21

推 b6byc       : 下跌時做空,上漲時做多. 12/26 14:21

推 BruceChen227: 美股長紅？ 這記者是沒看過美股盤嗎 12/26 14:23

噓 Noobungas   : 龍哥不是每天一樣開節目 12/26 14:25

→ idernest    : 惡意做多 12/26 14:25

→ kevinmeng2  : 12/22？  重新定義「新」聞？ 12/26 14:28

→ aimlikenoob : 空軍總輸令 12/26 14:28

噓 Noobungas   : ptt有龍哥的會員嗎？ 12/26 14:36

推 dpew        : 一堆分析師一直分析，還一堆yt主播在看在看他們，結 12/26 14:36

→ dpew        : 果幾乎打臉，有的還叫你加入會員，有点好笑，都不會 12/26 14:36

→ dpew        : 不好意思 12/26 14:36

推 Answerme    : 中國A股空軍大獲全勝 12/26 14:38

→ Answerme    : https://i.imgur.com/UwqNIfj.jpg 12/26 14:38

噓 yuen1029    : 好意外 好慘重 12/26 14:39

推 ntnuljg     : 空頭虧爛 那接下來是不是該回檔了 12/26 14:42

推 roots5071   : 真的好意外 12/26 14:42

→ leotompp    : 龍哥還有人看嗎 = = 12/26 14:42

噓 zzzbear     : 懷念龍哥當年 皇冠上的鑽石 高價股賺爛 如今嘎爛 12/26 14:44

推 esproject   : 感謝燃料 12/26 14:44

推 etop        : 老蘇：空頭一年多頭三年 12/26 14:45

推 f204137     : 有意外嗎 12/26 14:45

推 Xenia1050   : http://i.imgur.com/86qeKTj.jpg 12/26 14:45

→ Xenia1050   : 傳錯 12/26 14:46

→ f204137     : 空頭機構 哪年不喊空... 才真的讓人意外 12/26 14:46

→ THE7088     : 真好笑 12/26 14:58

推 yoshilin    : 就美國國債一直發，反正都下一代付 12/26 14:58

推 f204137     : https://i.imgur.com/eNy5ZEA.jpg 空頭永遠找理由.. 12/26 14:59

→ yoshilin    : 英國一直買，不知錢哪裡來 12/26 15:00

→ Alwen       : 空頭廢到笑，哪裡意外惹 一點都不意外 12/26 15:00

推 eric02      : 空軍大將軍肯微笑怎麼沒出來發個聲 12/26 15:00

推 czg         : 聾割也失算，害節目時段被偉弟頂上 12/26 15:01

推 keepingtime : 印驗古語邪不勝正！ 12/26 15:01

推 YOYOISGOOD  : 等空單回補認輸時 就是放空好時機 12/26 15:04

噓 s58565254   : 下輩子別做空 12/26 15:08

推 night957    : 長紅 長黑 都不可能意外想要騙我 12/26 15:13

推 ptta        : 超爽的一直加燃料 12/26 15:14

→ jvor0719    : 精不精洗 液不液外 12/26 15:15

→ rb731024    : 這種畢業文一出現 通常… 12/26 15:16

推 SUPERDINO   : 胡說明明就是血腥聖誕節 12/26 15:19

噓 lpmybig     : 空頭畢業 丸子 12/26 15:22

→ lpmybig     : https://i.imgur.com/vGLa1QX.jpg 12/26 15:22

→ clamperni   : 開不開心 12/26 15:41

→ Kobe5210    : 5534，長虹 12/26 15:46

推 paymond     : 這種新聞就代表要割韭菜了 12/26 15:48

噓 turnthison  : 22號新聞... 12/26 16:08

推 gillian21   : 龍哥 偉哉 12/26 16:24

推 lang0720    : 大賣空原型作者表示：明年一定... 12/26 18:06

→ alphish     : 賺錢就是這麼簡單~~~買就對惹 12/26 22:05

推 GQ072514    : 巴逆逆表示...... 12/26 23:48

推 deathoflove : 比垃圾台股好賺多了 12/27 18:13
