作者yamakazi (大安吳彥祖)看板Stock標題[標的] SOXL.US時間Thu Aug 24 15:48:40 2023

推 waitrop     : respect, 賭性堅強 08/24 15:52

推 centaurjr   : sell put 三倍只能給尊敬 08/24 15:53

推 poisonB     : Sell put做SOXL很容易中獎喔 08/24 15:54

→ poisonB     : SOXL跟FNGU的波動程度都很大 08/24 15:54

→ poisonB     : 一個禮拜30%都有可能 08/24 15:55

→ inthewood   : 勇者 sell 槓桿etf 08/24 16:07

推 celhw       : 賣溢價put要抵押對應現金，需要資金比買現股還要高 08/24 16:09

→ celhw       : 啊。為何不直接買現股做cover call? 08/24 16:09

→ yamakazi    : 樓上也是一個辦法，我BTI就是這麼做 08/24 16:25

→ yamakazi    : 不過我put價位是低於現在價位十趴，只要合約價值20 08/24 16:25

→ yamakazi    : ～40趴保證金 08/24 16:25

→ yamakazi    : 另外我觀察到只有前幾週單週跌幅有到十五趴，一般單 08/24 16:29

→ yamakazi    : 週跌幅頂多五趴 08/24 16:29

→ yamakazi    : 真的跌穿就轉倉，控制好口數和價位就可以 08/24 16:31

→ yamakazi    : Soxl單週跌幅超過十五趴幾乎沒有 08/24 16:31

→ yamakazi    : 既然如此我就抓個十五趴，比如20元，合約價值只要20 08/24 16:34

→ yamakazi    : 00美，但權利金卻有6X鎂 08/24 16:34

推 Severine    : 現在才多 = =a 08/24 16:45

→ yamakazi    : 前幾週都是跌的啊，還大跌 08/24 16:51

→ yamakazi    : 我現在都改看週k站穩均線才下手，以前都是便宜就抄 08/24 16:52

→ yamakazi    : 底 08/24 16:52

→ yamakazi    : So其實不算看漲，是看不跌 08/24 16:52

→ yamakazi    : 不然其實我沒那個能耐能猜到哪邊才是底 08/24 16:54

→ yamakazi    : Sp 08/24 16:54

推 poisonB     : 這個點位做SP我倒覺得是賭做W底 08/24 17:04

→ yamakazi    : 賭他不會下跌了，只要平盤以上算我贏 08/24 17:05

→ yamakazi    : 兩週加起來跌不要超過15趴算我贏 08/24 17:06

推 poisonB     : 我是覺得週五老鮑講話之前去做SP風險大於收益 08/24 17:07

→ yamakazi    : 不過也不見得真的等到期，有賺就先跑了不用跟他耗 08/24 17:07

→ yamakazi    : 你說的也是，確實可以再等等 08/24 17:08

→ poisonB     : 看周K怎麼收 再做決策也不遲 08/24 17:08

→ EDFR        : 都漲多久了.. 08/24 17:54

推 marlboro    : 886 08/24 22:29

→ cta         : 你還是太嫩了 08/24 22:49

→ yamakazi    : QQ 08/24 23:54

推 cwt1170980  : 太苦ㄌ捏 08/24 23:58

推 dslite      : 馬上被暴擊 08/25 08:25

→ yamakazi    : 還好聽網友的話沒做，馬上被狙擊XD 08/25 15:22

推 centaurjr   : 還好你沒上,一天就給你停損XD 08/25 16:52

推 windchimeqq : 賺錢就有進場，賠錢就說沒進場，有你的 08/25 22:28
