作者charis (忘了如何遺忘)看板Stock標題[新聞] 台電啟動混氫燃燒 擬混5％氫入天然氣發電時間Sat Feb 18 13:59:00 2023
推 oven99      : 原來康舒在漲這個 02/18 14:01

推 labbat      : 雖然燃氫發電成本高於天然氣 起碼比不穩的風光電好 02/18 14:08

推 lc85301     : 這個就是用氫儲能，算一種新應用吧 02/18 14:11

→ lc85301     : 電多的時候可以產氫存起來 02/18 14:11

推 tomdavis    : 用便宜的電產氫然後高價賣給台電發電? 02/18 14:12

推 dorck       : 氫氣目前大多還是用天然氣去重組取得 除非用電解水 02/18 14:13

→ dorck       : 取得氫氣不然一樣有碳排的問題 02/18 14:13

→ lyhorcish   : https://bit.ly/3xyFgpk 中研院「Alpha 去碳計畫」 02/18 14:15

推 kikinini    : 天宇噴爛 02/18 14:15

→ solid1109   : 脫褲子放屁，鳥操作 02/18 14:19

→ zzj11       : 三陽也有？？ 02/18 14:20

推 pisu        : 氫氣是不穩定氣體 加氫是要幹嘛 02/18 14:23

→ faniour     : 電解產氫再拿來燒是超級浪費能量 02/18 14:26

推 aa6300158   : 有專家可以解釋這成本會上升多少嗎== 02/18 14:28

推 pshuang     : 目前氫氣使用化學產生的吧 02/18 14:31

推 silver0314  : 記得電解產氫再產電比例大概4換1（4度電換能發1度電 02/18 14:34

→ silver0314  : 的氫） 02/18 14:34

→ hankower    : 電解產氫還不是要電… 02/18 14:38

→ leptoneta   : 工業用氫氣是石油氣裂解產生的啦 用電解早倒閉了 02/18 14:40

推 TaiwanUp    : 今太陽能獨佔20%發電 這還是台灣反綠電大環境下 強! 02/18 14:41

→ lc85301     : 產氫我記得不是電解，好像有更有效率的方式 02/18 14:41

→ lc85301     : 是用電啊，所以可以平衡綠電不穩定的問題 02/18 14:42

→ lc85301     : 綠電太多就儲氫變成基載能源 02/18 14:42

→ cashliu     : 乾淨的才要 02/18 14:42

→ TaiwanUp    : 目前的氫氣大多是副產品 沒啥成本 爾後還有過剩綠電 02/18 14:42

→ TaiwanUp    : 前提是台灣人要團結支持風電 綠電 不能再無腦反綠 02/18 14:45

推 fisher6879  : 鬼島問題是反核動力綠電吧？ 02/18 14:46

推 jorden      : 以後收碳稅之後 就會該該叫了啦 02/18 14:46

推 shinyi444   : 不是虧錢-.- 又要花錢搞東西？ 02/18 14:47

推 ru04hj4     : 脫褲子放屁 除非是用電解氫 02/18 14:47

噓 ck326       : 台灣什麼時候反綠了，飯盒ㄅ 02/18 14:47

→ TaiwanUp    : 氫能電解槽 儲罐 管線 德國發展很好 成本確實更低 02/18 14:48

→ TaiwanUp    : 你沒看上面一堆反綠 幾乎每一個推文都是反綠 02/18 14:48

推 Croy        : 風電可以直接在海中電解海水產生氫 02/18 14:50

→ Croy        : 透過管線送到陸地 這樣就有綠氫了 02/18 14:50

推 skylovein   : 綠能發電不穩定，產電過剩就電解水產氫，若儲電池 02/18 14:51

→ skylovein   : 會有自然放電的問題 02/18 14:51

推 TaiwanUp    : 台灣風電還沒有過剩問題 直供還是較少能量耗損 不過 02/18 14:51

噓 TCLanLanLu  : 以後碳足跡是不是要爆炸了 02/18 14:52

→ TaiwanUp    : 遲早也是要面對過剩的綠電 氫能是好的儲電供電方式 02/18 14:52

噓 zebirlin    :  氫氣沒成本?? 笑死 哪來的口木口木 02/18 14:52

推 viginia66   : 不是反綠能，是優先減少火力發電還是廢核，火力發電 02/18 14:53

→ viginia66   : 排放大量溫室氣體 02/18 14:53

推 jorden      : 風電太陽能直接拿去電解氫 好像就解決儲能的難題 02/18 14:53

→ jorden      : 只是氫不太穩定 儲氫場可能又要抗爭了=.= 02/18 14:54

→ lyhorcish   : https://i.imgur.com/AhfNPeg.jpg 02/18 14:56

→ TaiwanUp    : 齊柏林飛船用氫氣就是因為比製造氦氣便宜  但結果是 02/18 14:58

→ lyhorcish   : 『聯華林德建置全台第一座加氫站，估 2023 年運行 02/18 14:58

→ lyhorcish   : 』加氫站要來了，怕 02/18 14:58

→ TaiwanUp    : 鋼索打到氣球氫氣洩漏 被靜電引燃爆炸 其實有點風險 02/18 15:00

推 PoloHuang   : 越來越多種類發電 02/18 15:00

推 kainolife   : 這個要是變成外國在做就會說好棒棒，然後在反觀酸 02/18 15:02

→ kainolife   : 中央....... 02/18 15:02

→ TaiwanUp    : 約87年前有人敢用氫氣球載人 但仍然不能低估風險 02/18 15:02

推 loat        : 台電也懂套 02/18 15:03

噓 NoMomoNoLife: 又在抄國外作業，然後只要是台電做就是被嘴LOL 02/18 15:03

推 jorden      : 插滿離岸風機 最近的海邊 蓋一堆電解製氫廠 02/18 15:04

→ TaiwanUp    : 儲能種類也很關鍵 物理/化合物儲能 有不同應用場景 02/18 15:07

推 intotheman  : 用石化材料裂解的氫 是綠色的嗎 嘻嘻 02/18 15:08

推 pisu        : 天然氣複循環機組如何構成有興趣der 可以查查 02/18 15:08

推 hesashiaaron: 幹 寧可用氫氣也不願用核能 這腦子是壞了嗎 02/18 15:12

噓 cityport    : 燃煤製造氫氣..她媽還真環保 02/18 15:12

