作者win8719 (win8719)看板Stock標題[新聞] 陸iPhone 15預購首日「蘋果官網癱瘓」　時間Sun Sep 17 17:17:32 2023
推 allen0080   : 真香～～～～～ 09/17 17:20

→ bbcer       : 櫻花粉iphone，真香 09/17 17:23

推 zyxcba5     : 跟空軍一樣 喊久了總會等到的XD 09/17 17:24

推 capssan     : 所謂的蘋果完蛋了原來指的是會被買到當機= = 09/17 17:24

→ RTX3080TI   : https://i.imgur.com/jGm0szN.jpg 09/17 17:28

推 changmary   : 黃牛機器人出動 09/17 17:29

推 gladopo     : 真香rrrrr 09/17 17:30

噓 Eyrie       : 反美是工作 工作真辛苦啊 中國人 09/17 17:33

噓 JessVeron   : 顆顆  哪次預購不癱瘓  台灣新聞一直洗用意？ 09/17 17:34

→ Tokoo3535   : 愛國是一種工作，下班了只想做一回自己。 09/17 17:34

推 hunteryoyoyo: 華為董座都錯晶片在差都要用RRRR 09/17 17:34

推 a112112g    : 看來經濟很好 09/17 17:35

推 peterwww    : 經濟不錯 09/17 17:36

→ bobsun      : 華為又贏 09/17 17:38

推 joy2105feh  : 蘋果完蛋了 要被我們中國人買爆了 09/17 17:38

推 zpeople0116 : 黃牛啟動 09/17 17:38

噓 kensmile    : 就黃牛搞的，這次搶單會很慘 09/17 17:40

→ kensmile    : 滿手囤貨 09/17 17:41

噓 k75131      : 華為又淫了 09/17 17:42

噓 kentin      : 靠邀啊這樣台灣預約的會不會更晚拿到 09/17 17:43

推 khlin1016   : 左擁華為右拿蘋果 雙贏 09/17 17:44

推 skizard     : 華為搶到的市占大多是原本買三星的中國人吧 09/17 17:46

→ dpqb        : 當年ipod shuffle剛出也說沒人會花錢買這種東西 09/17 17:46

推 peterwww    : 應該會賣爆 09/17 17:46

→ dpqb        : 然後APPLE就一路賣到現在 09/17 17:46

→ peterwww    : 也許蘋果股價因為亞洲熱銷大漲 09/17 17:47

→ peterwww    : 平衡北美的不如預期 09/17 17:47

推 Chen73      : 結果洗華為的那些都消失了 09/17 17:47

推 junibookye  : 小粉紅拿粉紅色，超香 09/17 17:48

→ peterwww    : 粉紅色真的好看 09/17 17:48

推 ctes940008  : 華為修仙套餐 https://i.imgur.com/NkWv7om.jpg 09/17 17:48

推 ken85       : 華為犯的最大錯誤就不是美國公司而已XD 09/17 17:49

推 bigsun0709  : 遙遙領先 09/17 17:49

→ MacD89      : 中國又贏了 證明9999人民幣爺們一樣花得起 花到把 09/17 17:49

→ MacD89      : 官網推倒 09/17 17:49

推 yayaha      : 華為幹的鳥事超級多 你是不是只看中國報紙 09/17 17:51

推 uller       : 真香 09/17 17:51

→ Ceferino    : 還不快歐印蘋概啊，嘻嘻 09/17 17:53

推 qwe78971    : 每一代不都這樣 有什麼好報導的= = 09/17 17:54

推 holysong    : 想想上週一堆人狂洗華為，根本智障 09/17 17:54

推 jceefailurer: 華為=HTC 2.0 09/17 17:56

推 Feting      : 真的，不知道為什麼一堆新聞狂洗，有夠可悲的 09/17 17:57

推 holysong    : 結果蘋果銷量遙遙領先遙遙領先遙遙領先 09/17 17:57

推 zzzz0516    : 就一堆酸民唱衰，結果每次都被銷量打臉，笑死 09/17 17:58

→ Feting      : 還一堆在說gg利空，真的不知道在說什麼 09/17 17:59

→ zzzz0516    : 區區四、五萬的手機也在喊什麼盤子，都不知道這些人 09/17 17:59

→ zzzz0516    : 年薪到底多低 09/17 17:59

推 KSUGOD      : 華偉要往下噴了 09/17 18:00

推 calase      : 華為滿滿的解放軍背景好嗎… 09/17 18:01

→ bbcer       : 把錢換成你喜歡的樣子,美美的粉彩水果機,真香啊！ 09/17 18:01

噓 kensmile    : 現在連電動都要國產化了 09/17 18:02

→ kensmile    : 中國規定電動車零組件，都要中國製造 09/17 18:03

推 lsj168      : 習皇淫趴了 09/17 18:03

→ kensmile    : 華為手機已經國產化，也賣得不錯 09/17 18:04

→ win8719     : 華為國產化??? 09/17 18:04

→ kensmile    : 蘋果熱賣，這是黃牛在搞的，過一陣就清楚了 09/17 18:04

推 Uncontinue  : 看之前洗華為的樣子就知道PTT被入侵多嚴重 09/17 18:05

→ win8719     : 生產機器用國外的 材料國外的 ram用sk的 09/17 18:05

→ win8719     : 國產化? 09/17 18:05

