作者brian10207 (長谷川鬼)看板Stock標題[標的] 5269祥碩 打算跌到那離去 還有肉吧？時間Sat Aug 12 14:31:05 2023
推 labbat      : 這家是設計主機板週邊晶片組，最近有什麼新週邊？ 08/12 14:33

推 OJJCK       : 下一篇6515 穎崴 打算跌到哪去 已經剩骨灰了 沒有 08/12 14:34

→ OJJCK       : 肉了 08/12 14:34

推 O10lOl01O   : 太貴 買不起 08/12 14:39

推 wowok       : 還有譜瑞 08/12 14:39

推 apolloapollo: 未來2年營收只會變低 不會成長了 08/12 14:43

推 JukeFF      : 買嘉澤吧 還是持續成長的 08/12 14:43

推 pttstock    : 好慘的股票 :) 08/12 14:47

噓 zombiepigman: 救命 08/12 14:54

推 senma       : 836有撐但不確定是否止跌 08/12 14:59

推 s1an        : 他的產品線有很大問題 08/12 15:03

推 senma       : 撐不住就找800附近有比較強的支撐 08/12 15:04

推 waterlin1993: 跌下來是給你買的 明年重回千金 不要不信 08/12 15:10

推 roder       : 我只能告訴你會跌是因為沒有切入AI 08/12 15:24

→ roder       : 今年確實也有一些狀況 明年營收還是有機會往上 08/12 15:25

推 d9936679    : 買完是給你套的，年底600，不要不安 08/12 15:30

→ h75221      : 3533 一樣一路破下去 破底之路並不孤單 08/12 15:41

推 Brioni      : 造山後就一路向下，台股法則 08/12 15:51

推 HiIm5566    : 沒AI 08/12 15:55

推 imlucky     : HTC曾經1300 過 現在50 08/12 15:56

推 ntuooo      : 阿欽穎崴笑呵呵 08/12 15:56

→ sde7w9xzo   : 完了，這裡po文都會被主力盯上 08/12 15:56

推 imlucky     : 582附近看有沒撐 08/12 15:58

推 twn52       : 一張不賣，奇蹟自.... 08/12 16:11

推 truthzero   : 跟4966難兄難弟 08/12 16:18

推 adhere      : 這家或許要等到AI晶片 ASIC化後就會有機會XD 08/12 16:18

→ adhere      : 546低點破的機會大 除非消費市場開始回溫 08/12 16:19

推 cksai       : 跌時看壓不看撐 08/12 16:25

推 xx890197    : USB4 HUB相關產品發表了啊 08/12 17:06

→ bonaqabo    : 50收 08/12 17:31

→ limitup     : 6706更廢 08/12 17:48

推 truelove356 : 甜甜價不持續買 難道等漲了才追高？ 08/12 17:54

→ brian10207  : 真的一廢還有一廢廢 08/12 18:00

推 kevin31a2   : 你看他去年q1 eps=今年q1+q2該不該腰斬 08/12 18:09

推 shinyi444   : 這隻印象也是台積電題材？ 08/12 18:20

噓 Noobungas   : 眾達表示： 08/12 18:26

推 icespring   : 沒站回短期均線 看不出哪裡有肉 當然放長期的話相 08/12 18:27

→ icespring   : 反啦 08/12 18:27

→ brian10207  : 散戶還沒殺出還在買 融資也沒退 08/12 18:30

推 srx47       : 空這隻不如空創意，創意肉超多 08/12 18:44

→ chungist    : 回去看世芯之前怎麼被看衰！現在又如何？ 08/12 18:53

噓 EDFR        : 沒AI怎漲 08/12 19:57

推 cczx123123  : 我都只撿零股.... 08/12 19:58

推 lastcloud   : 這家有機會站回1000 但今年應該偏難 08/13 00:08

推 OJJCK       : 樓主啊，穎崴半年線破了啦，年線也快到了啊，揪命 08/13 00:42

→ OJJCK       : 啊… 08/13 00:42

→ vfrbgt66    : ？？高點沒賣？？？？ 08/13 01:37

→ vfrbgt66    : 高點都沒賣，我相信下去你也沒差啦 08/13 01:38

→ acgotaku    : 好久沒看這隻了 前低5百多 還有肉能崩 08/13 22:52

推 onewaya     : 現在來看空在地板 11/14 18:56
