作者waterox (籃佳佳)看板Stock標題Re: [請益] 槓桿ETF的損耗誰吃走了？時間Mon Aug 28 22:26:29 2023

用推文太長回一篇來舉例

以一個槓桿ETF 一口期貨期約價值100萬，目前持有10000口

期貨合約價值100億元，但是基金淨值50億元


隔天，台指上漲10%，期貨合約價值110萬元，總淨值變為110億元(獲利10億元)

基金淨值提升為60億元，必須加買909口合約

總共有10909口價值110萬元的合約，總價值上升為120億元(維持兩倍槓桿)


第三天，台指下跌10%，期貨合約價值99萬元，總淨值變為99億元(虧損11億元)

基金淨值降為49億元，必須減少1010口合約

總共持有9898口價值99萬元合約，總淨值降為98億元


所以如果一直維持盤整格局，會有震盪耗損沒錯

但是不能忽略的是持續上漲，會比原型兩倍厲害

持續下跌，會跌的比兩倍要少

多看看正二哥的文章吧，就算盤整一年，光是逆價差就爽賺了

看看正二今年超過0050股價時才幾元

他們倆可是在18619那天都是相同152元

推 k543k5      : 可是0050也配了9.5元欸 08/28 22:33

→ k543k5      : 從18600開始算起 08/28 22:33

推 harry8123   : 謝謝 他的文章我有讀過但可能沒細看到損耗來源是追 08/28 22:34

→ harry8123   : 漲殺跌 08/28 22:34

→ prpure      : 一個有配息一個沒配息, 講股價超過似乎邏輯怪怪的 08/28 22:37

→ jayppt      : 台股正2覺得是奇行種 外國至少有在看數字的槓桿etf 08/28 22:38

→ jayppt      : 都沒台股正2的表現 08/28 22:38

→ jayppt      : 元大原油正2還有直接原地爆炸 投資人血本無歸的慘 08/28 22:39

→ jayppt      : 例 08/28 22:39

推 yamakazi    : 怕損耗就加做sell call啊，送分題 08/28 22:43

推 Dennis0525  : 期貨商 08/28 23:27

推 IanLi       : 說要做賣方來賺耗損，只能說沒處理現金流與價差 08/28 23:52

→ IanLi       : 大波動逆風賣方抬出場了 08/28 23:52

→ JiaShiann   : 磨損成本不是正2特有，原型ETF及個股也有 08/29 01:08

推 JiaShiann   : 台股正2逆價差時間較美股正2多，但不保證一定存在。 08/29 01:10

→ JiaShiann   : 今年台股正二就是正價差 08/29 01:10

→ kanhun      : 反正都是臭散戶 08/29 04:55

→ paimin      : 除權息點數扣完正價差逆價差傻傻分不清 還想要爽賺 08/29 06:52

→ faniour     : 賺耗損你可以等值多空對鎖雙賣啊 08/29 10:09

推 abc0922001  : 哆啦王也有分析台指期跟00675L的波動損耗 08/29 10:26

推 Diver123    : 其實今年還是實質正價差喔！ 08/29 12:33
