作者mayingnine (個性決定能否投資賺大錢)看板Stock標題[標的] 聯發科期貨10月 多時間Sat Sep 16 09:22:31 2023
推 ben192726   : 你會賺翻倍 09/16 09:23

推 chanel1259  : 如果禮拜一就看到停損價呢 09/16 09:28

→ Garysss1    : 樓下a33 09/16 09:31

推 tigerzz3    : 700就買啊 有啥不敢買 09/16 09:32

噓 BossSB      : =====不要這麼做 本益比是本益比 但是已經無法創高 09/16 09:33

→ BossSB      : ===這波是看arm的臉色，她若往上走估值比nvid高 09/16 09:35

→ BossSB      : =====================你覺得可能嗎 09/16 09:35

推 AGODC       : 現在發哥面對超多對手廠商夾殺，壓力很大 09/16 10:04

噓 s910612     : 禮拜一跟安一起套一狗票 09/16 10:04

推 FireStarman : 空之王都認輸了還敢買發哥啊？ 09/16 10:08

推 empirica    : 攤一年已賺5趴了，空之王會認輸？ 09/16 10:13

噓 a331330     : A33早就8月進場卡位發哥！預計900高歌離席 09/16 10:14

推 josh79103   : 祝福你https://i.imgur.com/dEW9PT5.jpg 09/16 10:15

推 ian9510     : 可惡 我禮拜五賣掉了== 09/16 10:40

推 joey0718    : 空之王有認輸喔？ 09/16 10:40

推 kunnsei     : 聯發科最近真的滿強的 線圖看起來很穩 09/16 10:50

推 s56565566123: 超強的 禮拜一再加碼 09/16 11:01

→ tenghui     : 靈骨目前埋在最高1,130 最低撿到550 目前均價平手 09/16 11:05

→ tenghui     : 中 09/16 11:05

→ tenghui     : 我應該是至少會等到930附近再看看 09/16 11:06

推 BHooo       : 我是看850 再高看不懂 09/16 11:15

推 mamorui     : 尼真猛怎樣也是上上週標的 09/16 11:15

推 DFIGHT      : 13f怎麼了嗎？ 這圖看不出來啥米 09/16 11:23

推 monkey771022: 領了兩次股利，我在1080等北上的車接我：（ 09/16 11:24

→ simo520     : 不好說 09/16 11:29

→ simo520     : 先撐過禮拜一吧 09/16 11:30

推 jody0113    : 崩 09/16 11:35

推 joygo       : 朋友690的 說要放一年 09/16 12:27

推 patri0052   : 發哥不是什麼指標都轉強了 搞不好禮拜一平的 09/16 12:51

推 d9936679    : 意思是月KD高檔鈍化再攻，前高1215不是夢 09/16 12:51

推 lizardc1    : 線仙真多 看來穩了 09/16 13:19

推 KSVS2010    : 6百多不進場？漲了快一百才喊多 09/16 13:19

推 patri0052   : 說個笑話 這波修正就是要漲電子上去 嘻嘻 09/16 13:21

推 Xyla        : 上面笑人家漲100多才進場的會不會到了1000才含淚進 09/16 14:18

→ Xyla        : 場 09/16 14:18

推 cetus       : 發哥真沒什麼漲，禮拜一要大跌也難 09/16 15:09

推 shmim       : 低本益比有他的理由 09/16 16:03

推 david0605   : 我均價680，放著慢慢看 09/16 16:23

推 worshipyou  : 我在車上也希望大跌，因為我只有10股 09/16 19:02

推 NEX4036     : 老實說位階不算高，況且又是黑手的護盤重點。 09/16 20:40

推 ridodo      : 快跌吧！我才8張還想加碼 09/16 23:22

推 diefish0620 : 700以下很便宜 09/17 11:23

推 Kostolany   : 原來如此這樣看的 09/17 12:52

推 zuo         : 季線在693位置止跌翻揚，未來幾個月沿著季線做多就 09/17 14:18

→ zuo         : 好 09/17 14:18

→ zuo         : 隨著季線逼近再看能否帶量突破795，會比較明確知道 09/17 14:19

→ zuo         : 後面走勢 09/17 14:19

推 coolaru     : 可惡！禮拜五含息翻正就賣掉了 09/17 21:48

→ onit        : 結果禮拜一還漲 上面一堆被打臉 09/18 17:51

推 DFIGHT      : 禮拜一 漲到782了 好多人褲子都掉了 09/18 23:47

→ DFIGHT      : 老實說 聯發科是我玩股票以來最賺錢的一檔 我沒想 09/18 23:53

→ DFIGHT      : 過喜歡3c產品 喜歡手機 研究手機規格 製造 還可以 09/18 23:53

→ DFIGHT      : 這樣賺錢 不瞞大家 小弟目前股票資產58%都在聯發科 09/18 23:53

→ DFIGHT      :  最近心臟有點抖 每天都好像會在夢裡...... 09/18 23:53

推 ncucosine   : 出了新ETF 高息ETF調整後也有可能增加聯發科權重 09/23 18:03
