作者crystalvue (問就是中華電信)看板Stock標題[請益] 長期持有大盤能戰勝波段操作（個股）嗎時間Wed Mar 29 19:10:15 2023
如題，常看到ptt神人大大，PO對帳單，不是30就是50%，大部分不是事件交易，追強勢，
當沖…（波段操作個股）傻傻長期持有0050 或正2  10年，根本沒辦法戰勝波段操作吧

推 zxcv91039   : 當沖才是王道 每天刷百萬出來 什麼正2 還是個股波 03/29 19:11

→ zxcv91039   : 段都賺不贏 低調 03/29 19:11

→ kenntrf     : 這個問題要看你買入點在哪裡吧 03/29 19:12

推 edcs        : 問就是正2 03/29 19:13

→ soome       : 你覺得你不傻可以去當沖，看對可以賺比波段快 03/29 19:13

→ GigiBuffon  : 你為什麼不想想po文的才幾個人 沒發文的人很多是輸 03/29 19:13

→ GigiBuffon  : 大盤的你都不用算進去嗎 03/29 19:13

→ soome       : 看錯就被抬出去 03/29 19:14

噓 deepdish    : 散戶怎麼有玩得過大戶的錯覺？zzzzzz 03/29 19:14

→ deepdish    : https://i.imgur.com/jTj6K5j.gif 03/29 19:14

推 biopbiop    : 賠錢的你沒看到而已 老實0050長線才穩妥 03/29 19:15

→ ojh         : 當沖神>波段神>長期>波段雜魚>當沖雜魚 大概是這樣 03/29 19:24

→ jerrylin    : 看技術 03/29 19:24

→ Diver123    : 賠錢的通常不會po出來 03/29 19:26

推 kmshy       : 正2單看不夠多 前陣子一堆成本80左右重壓單 比起亂 03/29 19:26

→ kmshy       : 槍打鳥分散標的猛太多 正2你敢重壓 個股沒足夠自信 03/29 19:26

→ kmshy       : 敢壓嗎？ 月k拉出來在考慮進場點 03/29 19:26

推 f204137     : 台股每天跌500點都能平常心看待 再買正2啊 03/29 19:31

→ f204137     : 不用現在看很會漲才想買它 要去思考 下跌時該如何做 03/29 19:32

推 AkiMinoriko : 因為每個人都覺得自己波段出入出神入化如趙子龍，實 03/29 19:33

→ AkiMinoriko : 際上大部分都是追在最高點砍在阿呆股 03/29 19:33

→ AkiMinoriko : 雖然還是少數人能賺贏大盤但通常不是你 03/29 19:34

推 stlinman    : 個股作波段? 你得先戰勝主力跟公司派最後還得戰勝自 03/29 19:42

→ stlinman    : 己 03/29 19:42

推 benson502   : 倖存者偏差 03/29 19:47

推 fireandice  : 版上股神都是波段賺贏一年 03/29 19:51

推 newvote     : 投資自己熟悉股票.... 03/29 19:54

→ newvote     : 沒必要贏過誰....只要賺自己該賺的就好了 03/29 19:55

→ jalai       : 你對恥骨很了解 他未來非常看好 當然買個股非大盤 03/29 19:58

→ jalai       : 因為你可能因為個股賺個10倍 反之就ETF當個普通人吧 03/29 19:59

推 asirk124    : 事實上很多人殺進殺出最後連ETF的報酬都不如 03/29 20:10

→ Kobe5210    : 從沒有徹底想研究過個股公司的人，本來就永遠都達 03/29 20:12

→ Kobe5210    : 不到打敗大盤跟報酬率100%的境界。 03/29 20:12

→ Kobe5210    : 九陰真經不是人人都有意志能練成。 03/29 20:12

→ Kobe5210    : 認清自己只求平均報酬也是可以 03/29 20:12

推 simon81345  : 可以都做啊，一半大盤一半波段一陣子，對一下績效， 03/29 20:43

→ simon81345  : 如果你波段真的強過大盤再All in 不遲~ 03/29 20:43

推 sexybox     : 多的是每天殺進殺出 忙了一整年績效還輸大盤 03/29 20:54

→ Alwen       : 之前教主就嗆過了，為什麼賺不到100 200%以上，因 03/29 20:56

→ Alwen       : 為你就不懂啊 03/29 20:56

→ Alwen       : 而且下的不夠大的話，賺得金額還會輸給all in領平 03/29 20:57

→ Alwen       : 均報酬的 03/29 20:57

推 empirica    : 認清自己拿到大盤兩倍以上報酬蠻爽的 03/29 21:18

推 Capufish    : 我教你，拿一半的錢主動投資，一半的錢買正2 03/29 21:23

→ Capufish    : 如果連續五年波段獲利都超越正2，那你就做波段 03/29 21:24

→ Capufish    : 如果五年後輸慘，至少你的一半正2沒差大盤太多 03/29 21:24

→ Capufish    : 到時候就認命，乖乖投資正2就好，到你也沒輸給大盤 03/29 21:25

→ tenshila    : 回樓上 我目前就是這樣做 03/29 22:33

→ ojh         : 推正2哥 我也是1半正2放長期 1半正2做波段測試中 03/29 22:38

噓 multiView   : 可憐，笑死，你做了什麼? 想戰勝努力多100倍的人? 03/30 00:00

→ multiView   : 我也想天天發廢文，然後就戰勝馬克斯之類的喔 03/30 00:01

推 Naomasa     : 問別人沒用你要問你自己 03/30 00:36

→ tku9527     : 一次錯就byebye 03/30 01:04

→ YuYuHo      : 正二其實內含趨勢追隨 03/30 02:39

→ YuYuHo      : 同時作正二又做波段，遇到震盪，兩邊都輸 03/30 02:41

