作者steveisaman (who is the man)看板Stock標題[情報] 1017 上市櫃外資投信同買排行時間Tue Oct 17 20:21:46 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2303聯電    48.2    +1.05   5859     25967
2      2330台積電  551     +6      1257     4250
3      3035智原    352.5   +2.5    1073     908
4      3260威剛    100     +3.9     831     5491
5      2408南亞科  70.9    +0.3     610     945
6      2890永豐金  18.6    +0.2     547     8199
7      9958世紀鋼  179.5   +4       420     439
8      5439高技    115.5   +2.5     370     843
9      2886兆豐金  38.75   -0.05    319     2276
10     2892第一金  26.65   -0.1     315     842
11     9938百和    57.2    +0.7     271     129
12     3665貿聯-KY 268     +11      269     325
13     6176瑞儀    122.5   0        256     211
14     2801彰銀    17.45   -0.15    247     792
15     6271同欣電  147.5   +3.5     245     1202

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 ncucosine   : 同欣電？？ 10/17 21:41

推 kakulukiya  : 智原誰倒給外資？ 10/17 21:49
