作者pikachu0502 (皮卡丘)看板Stock標題[新聞] 台股量能急凍恐創今年新低！生技、新能源時間Mon Dec 26 14:11:39 2022

推 HCYPMGO     : 惜售行情 12/26 14:12

→ f204137     : 每年年底量縮 很正常啊 12/26 14:12

→ jenchieh5   : 沒辦法，太冷了，手指凍傷 12/26 14:16

推 PTTcrazy    : 去年跟前年聖誕節都還有2500億~~今年一半到不到XD 12/26 14:16

噓 yor         : 年底量縮不是很正常? 裡面都說外資休假啊? 12/26 14:17

推 if2         : 去年過年大家還很熱絡的在算航運EPS 12/26 14:17

→ PTTcrazy    : 看來縮表來囉~~大家船要做好~~一旦沈船~~有救生衣的 12/26 14:17

推 sllyabic    : 腳麻了 12/26 14:21

→ wind2k      : 去年大量散戶套在山頂的耶誕樹上了啊 12/26 14:32

推 KKlin813    : 我還看過300億的勒 12/26 14:39

→ piece1      : 內資投信幾根毛小兒都知道 12/26 14:41

推 piliwu      : 放假期間正常 12/26 14:51

→ piliwu      : 這量超多低的300多億時在4000點左右，現在14000才1 12/26 14:52

→ piliwu      : 100億 12/26 14:52

推 rrroooqqq   : 前兩年聖誕和元旦假期也沒那麼低，幾乎腰斬 12/26 14:55

推 Loda29      : 量少才好炒 12/26 14:56

→ brain9453   : 套鼠人了 12/26 14:59

推 BruceChen227: 人去樓空 12/26 15:17

推 etop        : 崩崩 12/26 15:29

→ loveisth520 : 人走茶涼 剩接盤韭菜了 12/26 15:58

推 ramirez     : 人走茶涼 12/26 16:02

推 chuzan      : 新低量會有新低價?? 12/26 16:48

推 YukiTW      : 去年 12/25~12/30 大盤平均大概是2400億左右 12/26 16:56

推 oklaptt     : 沒韭菜割了？ 12/26 17:15

推 rmp4rmp4bear: 外資放假了當然沒量 12/26 17:18

噓 stationary  : 笑死一對本益比算不出來的亂噴 12/26 17:41

→ deangogi    : 去年前年聖誕後都拉了一波到月初 今年看來是沒有 12/26 17:50

推 gtrzero     : 快要崩了啦~還再死撐! 窒息量快來了 房價先崩 12/26 18:07

→ asdzxc001   : 嘎爆外資不趁現在？ 12/26 18:22

推 ccuv        : 剩當沖俠亂沖 12/26 23:24
