作者owen810829 (owen)看板Stock標題[標的] 3532台勝科-跟著高股息ETF多時間Thu Dec 14 22:14:37 2023
推 ohsexygirl  : 看來您想拉過頸線啊 12/14 22:33

推 jeremyyyy   : 是在上升軌內沒錯啦，215可能要有爆點 12/14 22:34

推 bbignose    : 一張十六萬不如直接買ETF 12/14 22:37

推 videoproblem: 合晶還是最猛的 12/14 22:38

推 jhnny       : 沒量上面壓力又大...等有緣人進場.. 12/14 22:44

推 kmshy       : 哲哲昔日愛股 12/14 22:58

→ frankie30432: 口袋名單 還沒買入 12/14 22:59

噓 reye        : 請低調 12/14 23:05

推 cl3bp6      : 中美晶比較讚 12/14 23:17

推 fdkevin     : 觀察名單之一 12/14 23:18

推 tigerzz3    : 中美晶也被納入ETF沒錯 12/14 23:18

→ ben192726   : 果然是財富秘密，感謝 12/14 23:19

噓 gc1319      : 低調 12/15 07:34

→ iamaq18c    : 發財一哥感謝你幫忙抬轎解套 12/15 08:25

推 cl3bp6      : 噴了 12/15 09:12

推 vanii40     : 太神啦 12/15 09:17

推 videoproblem: 又噴 12/15 10:56

推 nesper      : 超神 12/15 11:12

推 jhnny       : 噴了 12/15 11:45

推 moike22     : 準備鎖 12/15 11:48

噓 reye        : 就說低調了 12/15 12:36

推 takataka    : 謝謝歐文 12/15 12:50

推 pqpqpqpq    : 神來之手 12/15 13:01

→ pqpqpqpq    : Owen點名下一檔是？ 12/15 13:02

→ kmshy       : 好屌紅燈 厲害給推 12/15 13:26

推 s8911124    : 蹭到飯 12/15 14:21

噓 Tashaa      : 低....調 12/16 12:30

推 autherlike  : 厲害 12/16 18:27

推 chachabo    : 太神了，沒跟太可惜了 12/17 19:48

噓 dob730      : 低調 12/17 21:14

推 Scorpio777  : 太神啦 12/18 10:01

推 wu322016    : 怎么了 12/27 18:07
