作者steveisaman (who is the man)看板Stock標題[情報] 1016 上市櫃外資投信同買排行時間Mon Oct 16 20:48:22 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2303聯電    47.15   +0.15   6103    13843
2      5439高技    113     +4      1682    1277
3      3035智原    350     +7      1035    1295
4      2890永豐金  18.4    -0.1     929    2109
5      2891中信金  25.35   +0.2     892    4513
6      2801彰銀    17.6    +0.1     819    385
7      2885元大金  25.55   +0.1     761    407
8      2313華通    53.3    +0.1     740    1837
9      2388威盛    122.5   +0.5     640    745
10     2455全新    159     +4       599    477
11     2882國泰金  45.5    +0.2     565    1263
12     2886兆豐金  38.8    +0.3     543    4987
13     2615萬海    45      +0.75    542    469
14     2892第一金  26.75   +0.05    533    2700
15     2352佳世達  45.25   +0.5     501    950

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 aika5512308 : 聯電是有什麼fu糗嗎 10/16 20:52

推 mamorui     : 第四季的fu 10/16 20:54

推 b2060027830 : 聯電28nm很香 10/16 21:24

推 vul4c04u4   : 持股香香的 10/16 21:25

→ tien22      : 法人一起隔日沖金金 10/16 22:15
