作者S9125126 (SS)看板Stock標題[請益] 東方神秘力量 大V時間Tue Sep 12 13:54:42 2023
→ rb731024    : 你以為自營外資想賣會賣輸嗎？ 09/12 13:56

→ KID0924     : 是V還是N 09/12 13:56

→ hy1221      : VV 09/12 13:56

推 elliotpepe  : 因為我做空了 09/12 13:56

噓 kensmile    : 你以為是V,結果W 09/12 13:57

推 mamorui     : 不用想太多 量縮啊 09/12 13:58

推 Detonate    : 別想太多 明天一根長黑直接破線 09/12 14:00

推 joygo       : 沒量看得出方向大概需要無限寶石 09/12 14:02

推 Feting      : 用錢畫線啊，關鍵點位跌破就會有傳產航運拉上來補 09/12 14:02

→ Feting      : 撐點數，主力明顯要畫一個多頭走勢衝上兩萬，不要 09/12 14:02

→ Feting      : 被騙下車了 09/12 14:02

噓 distantblc  : 哦哦哦是喔 09/12 14:03

→ alongalone  : 理論上應該要先往下打. call的肉比較多 09/12 14:05

→ alongalone  : 先往下在往上. 然後上上下下 09/12 14:05

→ Yui021      : 拉長點看呀 M 09/12 14:07

推 kinki999    : 也可以是m頭啊 09/12 14:08

噓 shmim       : 都九月了你今天才進來股市? 09/12 14:12

→ shmim       : 你要不要順便發現台幣都32了  一堆韭菜 09/12 14:13

推 AUTIS       : 高檔震盪 以盤代跌 結束 09/12 14:16

→ ljh109      : 說不定繼續盤 09/12 14:17

噓 a03520      : 那你還不高利貸買股？ 09/12 14:19

噓 cat654231   : 再畫斜一點 09/12 14:25

→ Kenhon      : 好喔 歐硬等領錢 cc 09/12 14:29

推 huk40199    : 完了明天要崩回去了果然一日行情 09/12 14:36

噓 deepdish    : 騙韭菜喔zzzzzz 09/12 14:40

推 YJM1106     : 形態學是什麼啦XD 09/12 14:42

推 videoproblem: 好笑但你會被桶 09/12 14:47

推 abdiascat   : 線是畫來破的 破了再畫一次 無限迴圈 09/12 14:48

推 twinsen     : vnNVN 09/12 15:00

→ dkfum       : 又瘋了一個 09/12 15:05

推 CTC0115     : 東方神秘力量 https://i.imgur.com/vDwkYEs.jpg 09/12 15:09

→ cpoligo     : 為什麼不是無名指跟小指？ 09/12 15:16

→ realbout    : /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ 09/12 15:28

推 basslife    : 挖 好工整阿 09/12 15:30

噓 ryan1220    : 廢文 09/12 15:53

推 smbtomas    : 我9千點就已經歐印了，無聊 09/12 16:27

推 Tenging     : 又瘋了一個 09/12 17:06

推 flyingdeeck : 是 09/12 18:33

→ z24684198   : 你是不是瘋了 09/12 18:54

→ k85564      : 4 09/12 18:58

噓 edison531   : 廢文耶 09/12 19:05

推 amorose77   : 你怎麼不乾脆搭配推背圖 09/12 19:49

推 davidonptt  : IVI 09/12 19:55
