作者shadow0326 (非議)看板Stock標題[新聞] 泰山嚴重違反內控！ 證交所宣布重罰250萬時間Tue Apr 25 22:12:54 2023
→ curlymonkey : 八寶粥仙草蜜涼涼 04/25 22:13

→ aloness     : 看來泰山真的很有事 04/25 22:14

推 ryo923      : 大場面要來了嗎 04/25 22:14

推 BIGBIGFISH  : 該換人了 04/25 22:14

→ william7713 : 重罰250 04/25 22:14

推 walter41    : 推文小心 不要提到掏空 04/25 22:14

→ NaouZ       : 換人做做看之前亂花錢惹，讚 04/25 22:15

噓 fcugeo      : 250萬笑死 掌握內線的都不知道賺多少了 04/25 22:16

推 cwts        : 垃圾 04/25 22:16

→ pisu        : 好了可以結案了 04/25 22:16

推 a0808996    : 250 哈欠~ 04/25 22:18

推 leotompp    : 今年有發八寶粥嗎@@? 04/25 22:21

→ lyhorcish   : 今天看了記者會，可憐的炮灰，只能搪塞高層問題 04/25 22:25

推 jeff79723   : 被要求開重訊，講說董的權限...證交所才傻眼吧 04/25 22:28

噓 henry318    : 反正只要不被關 罰的都是小錢 04/25 22:28

→ gprs910     : 250？當大家是二百五囉 04/25 22:29

噓 darkangel119: 250萬? 跟送街友250塊一樣 04/25 22:29

→ poisonB     : 這合約不算利益輸送嗎？ 04/25 22:34

噓 xxlaws      : 重罰? 這些機關就是廢物只能罰這種小的 04/25 22:34

推 MBAR        : 大同： 04/25 22:35

推 tist        : 重罰250 這麼重不怕倒閉？ 04/25 22:37

推 a26893997   : 重罰? 250W? 看不起泰山是不是阿= = 04/25 22:39

推 a069275235  : 太誇張了吧= = 250是怎樣  為什麼不罰3萬就好 04/25 22:43

→ zxc120      : 在是否對錯之前能不能把“重罰”兩字去掉。 04/25 22:44

推 Inazuma     : 完了！味全要重新找打教了！ 04/25 22:44

→ kilo7       : 賺1個億罰250？怎麼輸？賺錢的方法都寫在法律裡了 04/25 22:49

推 leechester  : 感覺滿垃圾的公司 活該被搶經營 04/25 22:49

→ dougho      : 付仲介費80m 買70m的畫 不用查掏空嗎xdd 04/25 22:49

噓 Yelich      : 只能家族企業呵呵… 04/25 22:50

推 Run911      : 哈哈哈哈....好多好多喔 04/25 22:52

推 hutten      : 比繳稅還便宜，賺爛 04/25 22:53

噓 aaa013008   : 買畫作 洗錢？？ 04/25 22:58

噓 sungtau     : 這要罰管理人吧!應該罰2.5億才差不多吧！罰公司最 04/25 22:59

→ sungtau     : 後倒霉的是股東而不是亂搞的人。 04/25 22:59

→ kevinmeng2  : 喝仙草蜜看戲中 04/25 23:06

推 A80211ab    : 淘空吧 04/25 23:07

→ bnn         : 洗錢掏空上億重罰250萬 04/25 23:10

→ KAMTER      : 一山還有一山高 04/25 23:12

推 lafel       : 哇 獲利1.8億重罰0.025億  看來是鼓勵這樣賺錢 04/25 23:22

推 Ligamenta   : 二億五才算重吧 04/25 23:33

推 aicassia    : 下次回去還吃得到八寶粥仙草蜜買 04/25 23:34

→ aicassia    : 大家有看過房仲拿超過房價的仲介費的嗎 04/25 23:35

→ lyhorcish   : https://i.imgur.com/rX2AlZS.jpg 可成委屈了 04/25 23:45

推 lanslore    : 吃瓜，滿好奇背後單純是資本較勁還是另有恩怨？ 04/25 23:46

推 feliz5566   : 這樣都沒事 ㄏㄏ 04/25 23:55

→ NEX4036     : 連一台總代理E300或530i都買不起就別報出來給人笑 04/25 23:59

→ NEX4036     : 了 04/25 23:59

推 burnitzlin  : 公司派又要業配新聞,告訴大眾都是they的錯 04/26 00:07

推 lasma       : 罰公司還是罰個人？ 04/26 00:08

推 b0204888100 : 可以跟美國學一下嗎 都幾億在罰的 04/26 00:17

推 Hatewoman   : 利空出盡 04/26 00:28

推 momvic110456: 笑死 250 罰8億7再說 04/26 00:30

→ snowish     : 250萬是零用錢吧，笑死 04/26 00:36

推 tku9527     : 內控？那是什麼？ 04/26 00:46

推 a03520      : 罰這麼重好可怕 04/26 01:28

推 vbmomo      : 寬量是股海冥燈的股越寒？ 04/26 01:29

推 A1pha       : 依法裁罰，謝謝指教。 04/26 02:06

推 uyangpong   : 重罰！ 04/26 02:16

推 wts1010     : 好重喔 04/26 04:55

推 sfarer      : 不成比例，真的好重 04/26 06:20

推 ter2788     : 泰山看起來 資金操作有問題 04/26 06:34

推 k798976869  : 違規搬錢 要趕快 04/26 06:57

推 moon1991    : 修法改按營收比例，然後公司應該要就此部分可以再 04/26 07:56

→ moon1991    : 跟負責人求償 04/26 07:56

噓 sing60905   : 250 少買一台C200哈哈哈 04/26 08:17

推 heveninferno: 2500萬都不嫌多 04/26 08:31

→ kenntrf     : 250萬叫重罰？ 04/26 08:36

→ mdkn35      : 泰山山頂很冷 大概要涼 04/26 10:22

推 jin956      : 重罰250萬 泰山會不會笑到中風而倒閉阿 04/26 10:33

推 WLR         : 做食品的買畫是能幹嘛 04/26 11:19

推 yee         : 對著牛罰它身上一根毛！牛會理你嗎？ 04/26 11:43

推 stst5       : 重罰應該要沒收營利吧 呵呵 04/26 11:55

推 hihjktw     : 你看看這就叫有關係 沒關係 04/26 12:05

推 gisasy001   : 重罰250萬當你各位都是250，內線都賺幾個億了 04/26 12:52

推 smallkop    : 根本沒在理法規吧，老子就是有錢的感覺 04/26 12:54

推 wwpf0817    : 龍邦快上位吧~ 04/26 17:59

→ Mnet2011    : 最好重啦 04/26 18:03

→ handsome    : 感覺滿垃圾的詹家 經營權掉了活該 04/26 19:36

→ ggininin5566: 演都不演直接掏X??? 04/26 20:55

→ gunsyak     : 早說現在掌權的詹家不是什麼好東西 04/27 01:06

→ gunsyak     : 現在吃相更難看了 04/27 01:06
