作者win8719 (win8719)看板Stock標題[新聞] 印度向中國手機製造商提新條件　要求任命時間Fri Jun 16 12:02:16 2023
推 hihi29      : 印度也是蠻狠的 06/16 12:02

推 popo123456  : 敢要求蘋果 三星嗎 = =， 06/16 12:03

推 fman        : 如果三星蘋果違法，印度當然也可以這樣做，但現在看 06/16 12:05

→ fman        : 起來就小米這樣做啊，非法匯款至境外機構可大可小， 06/16 12:05

→ fman        : 看起來金額應該很大所以印度政府反應才會這樣大 06/16 12:06

噓 lise1017    : 你以為只有陸商？台商也是好嗎？印度人不意外 06/16 12:08

→ lise1017    : 某台企從印度撤退不是沒有原因 06/16 12:09

→ lise1017    : 印度幾十年都沒辦法成為世界代工廠有原因的 06/16 12:10

推 b18902040   : 各種不講武德 06/16 12:10

→ bbcer       : 某些人不是很愛講,考慮出走離開台灣嗎？要走快走啦 06/16 12:11

推 piliwu      : 剛好而已中國怎麼對待外國的 06/16 12:12

推 nfsong      : 印度繼續亂搞。可能會跟10年前一樣 06/16 12:12

→ hbj1941     : 就是要趕你走,要嘛給我管，自由選 06/16 12:12

推 atpx        : 德國也會要求某些重要職務要是德籍，只是台灣沒報 06/16 12:13

推 pmes9866    : 不過印度手機就真的沒競爭力 印度本土手機廠被中國 06/16 12:13

→ pmes9866    : 打爆 印度人都不買 市占落後非常多 只能主打愛國 06/16 12:13

推 fenix220    : 反觀 06/16 12:14

推 billy56     : 印度看準國際去中化 才敢在那邊亂搞吧 06/16 12:15

推 popo123456  : 印度直接侵佔你的企業，好扯，現在中國就軟柿子， 06/16 12:16

→ popo123456  : 有市場就是老大 06/16 12:16

推 chunboy0812 : 中國:你竟敢用我的魔法來對付我!! 06/16 12:17

推 popo123456  : 中國是市場換技術，印度直接沒收你的企業 06/16 12:18

→ PPPGGG      : 你竟敢用我的魔法對付我 06/16 12:19

推 q34355997   : 印度是誰來都搞死啦 所以永遠都是落後窮國 06/16 12:19

推 nk10803     : XD狗咬狗剛好 06/16 12:20

推 good5755    : 印度這只是學共產黨的手法啊 黨書記入公司 合資公司 06/16 12:21

→ ikariamman  : 又沒啥  中國黨支部老招罷了 06/16 12:21

→ good5755    : 技術轉讓 超額超稅 不就20年前共產黨的手法在玩外資 06/16 12:21

推 citi        : 印度：中國要求外資進入中國要合營，現在只是剛好 06/16 12:21

→ citi        : 而已 06/16 12:21

推 icelaw      : 讚啦 只有印嘟國 才能用魔法對付魔法 CC 06/16 12:22

推 thegiver210 : 共党支部：那抗議！他学我！ 06/16 12:22

→ ikariamman  : 有種別賺印度前 06/16 12:23

→ icelaw      : 左岸 不也是玩這種招嗎 對內銷嚴格控管， 06/16 12:24

→ icelaw      : 之前台商也是先被合資 然後技術被偸 然後整個公司 06/16 12:24

→ icelaw      : 就被吃掉了 06/16 12:24

→ Homeparty   : 靈光鏡反衝 06/16 12:24

推 Water0823   : 中國是你不合資 不給你賣汽車 印度沒比較狠啊 06/16 12:25

推 a28200266   : 印度看現在國際情勢 只有他能接下這塊大餅就開始亂 06/16 12:25

→ icelaw      : 阿三： 不要吃印度飯 砸印度碗 06/16 12:25

推 summer08818 : 造反喔xdd 06/16 12:26

→ Upswing     : 直接干涉公司營運,讚喔硬督 06/16 12:26

推 aocboy      : 以毒攻毒，以彼之道還施彼身XD 06/16 12:33

推 clisan      : 對中國公司用同樣做法 06/16 12:35

→ itwt        : 好的不學學中國 06/16 12:36

噓 centaurjr   : 還好吧...你看中國汽車都要合資呢...人事而已便宜 06/16 12:37

推 puam4444    : 印度想要搶世界工廠的地位吧 06/16 12:37

推 ggyaining   : 上一家印度仔當ceo 的半導體廠還在地上爬 06/16 12:38

推 waeting     : 比中國會玩！真屌 06/16 12:39

推 cloud7515   : 以毒攻毒 06/16 12:41

→ hbj1941     : 印度：你以為只有你會耍流氓？ 06/16 12:42

→ billionaire : 笑死 06/16 12:46

推 MacBookAir12: 印度現在就是把中國當年那套對外商的招式複製貼上 06/16 12:47

推 cheng399    : 比共產洞還共產洞 06/16 12:48

推 decorum     : 中國要求企業設立黨組織 印度要高管 前有狼後有虎 06/16 12:50

推 okah        : 公公在印度的投資案也不太順，這地方很不好搞 06/16 12:51

推 raymond501  : 非常合理 對等公正 06/16 12:52

→ decorum     : 印度更是大藥廠的傷心地 把專利藥當學名藥處理 06/16 12:52

推 howhower    : 狗咬狗 06/16 12:54

推 u9912114    : 不愧是印度，懂玩 06/16 12:57

推 jorden      : 印度人割韭菜比中國還兇 06/16 12:57

推 caity       : 美國的印度人算嗎? 06/16 13:05

→ caity       : 這比中共厲害了 06/16 13:05

→ appledick   : 阿三嘴砲王 06/16 13:05

→ caity       : 之後是董事會要有印度籍? 06/16 13:06

推 wts4832     : 這也沒啥，印度就學中國的而已。 外商公司成立黨委 06/16 13:06

→ wts4832     : 、黨員加入經營層、插乾股查稅罰款，這些中國都在 06/16 13:06

→ wts4832     : 做。 06/16 13:06

→ wts4832     : 外資想要市場就要聽話，中國一直以來也是這樣做的 06/16 13:07

→ wts4832     : 。 06/16 13:07

推 scott29     : 響應習近平的共同富裕 06/16 13:08

推 rahim       : 印度就學中國玩法而已 06/16 13:08

推 LabaEllis   : 粉紅國發現有人抄襲他們作法 還比他們更兇殘 氣的 06/16 13:10

→ LabaEllis   : 跳腳呢 06/16 13:10

推 kimula01    : 印度趕走小米份額 那得利的會是那些公司？ 06/16 13:14

推 asole       : 能夠噁心中國的首推印度 更噁心 06/16 13:15

→ wr          : 你竟敢拿我的咒語對付我 06/16 13:15

→ icelaw      : 我猜就 三星的中低階手機會得利 06/16 13:16

→ icelaw      : +印度也想保護自己國內的手機業者 06/16 13:17

→ win8719     : 印度一定會成為中低階手機的主要市場~所以就看誰得 06/16 13:18

→ win8719     : 利 06/16 13:18

→ lise1017    : 基本上大家口中說的中國不也是這樣 其實最早也是學 06/16 13:19

→ lise1017    : 老蔣台灣的 然後跟泡菜南韓也是一樣 更早前的日本 06/16 13:19

→ lise1017    : 也是這樣 06/16 13:19

→ lise1017    : 基本上沒啥好互相嘲笑的 亞洲國家都是這樣搞來的 06/16 13:20

→ lise1017    : 不然百年前的亞洲都是一批土人 哪懂什麼高科技 06/16 13:20

推 PTTpeter    : 哈哈~印度也學中國,在我這賺的錢,不讓你匯回去 06/16 13:23

→ lise1017    : 現代亞洲所有食衣住行都是學西方的不是自我發展來 06/16 13:23

→ lise1017    : 的 怎麼學 就同一套唄 06/16 13:23

推 alau        : 就學中國的玩法 06/16 13:28

→ joe2        : 石內卜：你....... 06/16 13:34

推 jieen0604   : 就以前中國的招印度也用阿 06/16 13:39

推 MIT8818     : 對不講武德的用不講武德之術 06/16 13:42

→ elainakuo   : 中國怎麼對人 其他人也可以這麼對中國 06/16 13:55

推 dunjiin     : 喜歡中國的人應該也要喜歡印度 06/16 14:16

推 linfon00    : 中國以前的招式全部學全了 匯款管制 強制安插管理 06/16 14:25

→ linfon00    : 職務 06/16 14:25

推 wei9898     : 這很印度 06/16 14:39

→ ulamong     : 中國在外資公司會設立黨支部組織 印度可以學一下成 06/16 14:41

→ ulamong     : 立類似的組織監控中國公司 06/16 14:41

→ tctv2002    : 全世界都一樣啦 06/16 14:41

推 koiiro      : 印度是真的爛 06/16 14:47

推 zxc99327    : 不錯 印度這手法師承中國，流氓還是得用流氓的手法 06/16 14:55

→ zxc99327    : 對付 06/16 14:55

推 cww7911     : 用中國的魔法對付中國還真狠 06/16 15:05

推 eas06u4     : 六樓很急ww 06/16 15:10

推 ohohohya    : 波特 你竟敢用我的咒語對付我 06/16 15:38

→ appleskin   : 比中國更匪 哈哈哈 06/16 15:44

推 ncuephysics : 這時候洨米又縮惹 06/16 15:46

推 reallocust  : 如果小lin講印度兩大富豪的內容是真,那發達史根本就 06/16 15:46

→ reallocust  : 是高啟強模式,政治渠道從上爛到下 06/16 15:46

推 toroyang    : 要換印度贏麻了！ 06/16 15:53

推 toroyang    : 扣錢不是重點，主要宣告不希望中國企業進印度 06/16 15:57

推 wallowes    : 印度又補上一腳 06/16 16:28

→ wallowes    : 中共國趕快戰狼外交啊 06/16 16:28

推 eric112     : 這樣對中共剛好而已，中共不就最喜歡強迫外資台資 06/16 17:02

→ eric112     : 技術轉移然後股份還不能超過50%，然後還要派共產黨 06/16 17:02

→ eric112     : 員進駐公司 06/16 17:02

噓 greattower  : 中國人都不敢這樣玩，低能印度人 06/16 19:08

推 cphe        : 這不是搶匪什麼才是搶匪 06/16 19:23

→ fallinlove15: 以毒攻毒 06/16 21:06

→ jceefailurer: 印度連台商都撤，中國還不撤？ 06/16 21:27

推 PSmann102   : 印度被稱為外資墳場 本來不意外 06/17 01:42

推 PSmann102   : 鴻海VS印度 剛好坑人兩強相遇於印度 好戲上場 06/17 01:47

→ PSmann102   : 究竟鴻海能不能在印度生存下去 大家繼續看下去 06/17 01:48

推 huabandd    : 印度人比中國人更沒文化哈哈哈 06/17 09:22

推 whc760123   : 6樓笑死 通篇不知所云 要同溫層回牆內 別跑出來 06/17 21:13

推 s82015969   : 這招玩得比中國人更溜，阿三比中國人聰明 06/18 13:20

→ aska13      : 覺得過份的，可以參考一下 中國，中國要求技術轉讓 06/18 16:47

→ aska13      : 也是這樣幹的 06/18 16:47

推 sthouse     : 說中國軟柿子也是蠻好笑的 06/19 08:29
