作者Alison5566 (艾利森)看板Stock標題[新聞] 黃仁勳逛夜市台股穩了？鄉民警訊：向下一時間Wed Oct 18 10:50:33 2023

→ qwe22992168 : 皮衣爆了啦 沒屁用了啦 還在AI 笑死人 慢慢抄底吧XD 10/18 10:51

推 nodnarb1027 : 發新聞了，該跟鄉民對做了 10/18 10:51

噓 justdoit    : 上ptt抄新聞豪爽 10/18 10:52

→ sunnywing   : 可見鄉民偶爾會準一次 10/18 10:52

推 stanleyiane : 皮衣刀客名言 跑起來！！！ 10/18 10:53

噓 nono520     : 衰尾道人 10/18 10:53

噓 deepdish    : 新聞一條龍zzzzzz 10/18 10:54

推 ntuooo      : 人不錯推廣觀光 10/18 10:57

→ ookimoo     : 穩個鬼，nvda要去350 10/18 10:57

→ ntuooo      : 老闆知道他是一兆男嗎？1/2台灣gdp欸 10/18 10:58

推 AllenAline  : 戴賽! 10/18 10:58

噓 stationary  : 跟七月完全不一樣，都腰斬了還有人酸，來撿一張試試 10/18 10:59

推 loveponpon  : 律師陳振瑋？誰 10/18 11:00

推 blueseason  : https://imgur.com/TeSdWYr.jpg 10/18 11:00

→ motozey     : 有1/2台灣gdp應該要有保鏢陪逛夜市吧? 像那些中東油 10/18 11:00

→ motozey     : 王出門都是一堆保鏢的 10/18 11:00

→ stationary  : https://i.imgur.com/DMnbETQ.jpg 10/18 11:00

→ stationary  : https://i.imgur.com/ZujAe80.jpg 10/18 11:01

→ stationary  : 就長榮2.0 10/18 11:01

推 loveponpon  : 真的很愛逛夜市整死保鑣 10/18 11:01

推 howow       : 基本面穩健 10/18 11:03

→ darkwave    : 愛追飆股才在那邊怪東怪西 10/18 11:05

推 mugigi      : 不想玩AI了，回100就好 10/18 11:05

推 epicurious  : 元宇宙重現 10/18 11:10

噓 pqpqpqpq    : 媒體真的是寫廢文的亂源 10/18 11:14

→ pqpqpqpq    : https://i.imgur.com/HCPCm9E.jpg 10/18 11:14

推 saya2185    : 皮衣刀客對股價直接砍一刀 10/18 11:14

→ pqpqpqpq    : 老黃老早說了，不跑是你的問題 不要只想怪別人 10/18 11:15

推 jack0216    : 人家老黃真Ai 你買台灣真Bi是要哭什麼 10/18 11:19

推 disk249     : 緯創 慘慘慘 10/18 11:20

推 hook99      : 大家麻痺了 10/18 11:28

推 agvnol      : 穩了 10/18 11:31

推 Mayfair0597 : 緯創88了喔 10/18 11:46

推 fasco       : 真的向下了 ! 10/18 11:52

噓 deangogi    : 這種低能文體的新聞真的趕緊讓AI取代吧 10/18 11:54

→ deangogi    : 花22k請人寫這種都嫌貴 10/18 11:54

噓 backpacker18: 白痴新聞 10/18 12:01

→ lluunnaa    : XD 10/18 12:07

推 ganninian   : 乾脆輝達總部旁邊自己開一間夜市好了 10/18 12:11

噓 sunday0913  : 發新聞->轉貼新聞->抄推文->發新聞…你他媽新聞永 10/18 12:20

→ sunday0913  : 動機? 10/18 12:20

推 yipi1357    : 怎麼緯創讓我想起宏達電... 10/18 12:23

推 jerrylin    : 有空來台灣逛夜市你就知道他有多閒 10/18 12:28

→ jerrylin    : 訂單塞爆他還能這麼閒嗎 10/18 12:28

推 waterCoka   : https://i.imgur.com/BV4vqIQ.jpg 10/18 12:39

→ MacD89      : 台灣治安那麼好 保鑣應該沒啥屁用 張忠謀也是自己 10/18 12:40

→ MacD89      : 坐火車 10/18 12:40

推 jhnw        : 穩有兩種 10/18 13:03

噓 cosmite     : 廢文當新聞 10/18 13:11

推 cfceo       : 整天沒事做來逛夜市，當然是公司沒事做 10/18 13:25

→ cfceo       : 沒中國市場怎麼大賺？？ 10/18 13:26

推 InfocusM510 : 他真的很愛逛夜市 10/18 14:04

推 lester6951  : 沒錢只能吃夜市了啦 10/18 19:02
