作者steveisaman (who is the man)看板Stock標題[情報] 0217 上市櫃外資投信同買排行時間Fri Feb 17 21:32:25 2023

排行   股票名稱    成交    漲跌  投信買   外資買

1      3481群創    14.1    +0.5   20006   47498
2      2883開發金  13.2    +0.15   2973   7570
3      2409友達    18.2    +0.25   2555   20881
4      5009榮剛    41.25   +0.85   2284   2682
5      1101台泥    38      +0.5    1248   3603
6      1605華新    57.5    +1.2    1005   2423
7      2748雲品    93.5    +8.5     836   674
8      2882國泰金  44      +0.95    830   12865
9      2881富邦金  60.3    +0.9     717   6117
10     1303南亞    75.7    +0.3     582   202
11     2049上銀    237.5   +5.5     549   281
12     6143振曜    88      +5.3     472   1311
13     1795美時    294.5   +10.5    412   1453
14     5871中租-KY 231.5   0        325   45
15     3624光頡    57.7    -0.1     301   171

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 adngg579    : 推 02/18 01:50

→ teve429     : 99泥泥 02/18 12:09
