作者Player01 (Player2(請投入硬幣))看板Stock標題[新聞] 謝金河以廣達為例：投資就是要守株待兔時間Sat Jul 22 13:30:58 2023
推 ntpcgov     : 完蛋 07/22 13:32

噓 a069275235  : 07/22 13:33

推 crazysam    : 看來要回檔30%修正一下 07/22 13:33

→ ej03xu3     : 周末各種老謝文~ 07/22 13:33

推 silentence  : 阿 兔子要跑掉了 07/22 13:35

→ DAEVA       : 謝金河 07/22 13:35

噓 devidevi    : 漲的股票不買，去買不漲的股票?? 07/22 13:35

推 tomdavis    : 老謝這篇文怎麼解讀 看好台泥 廣達不要追? 07/22 13:36

噓 redsaizu    : 這咖只會馬後炮 07/22 13:36

推 mma         : 這廝除了馬後炮還會什麼？ 07/22 13:36

推 laogiby     : 厲害了我的老河 07/22 13:37

→ kshine      : 每一篇都有謝 07/22 13:37

→ Reichenau   : 崩 07/22 13:38

推 starfirerex : Ai股能不能能不能跌一點 我在佛前苦苦求了幾千年 07/22 13:38

→ jalai       : 守住待兔 前提是兔子會來  這根本馬後炮y 07/22 13:38

噓 keepingtime : 講這個都是事後的屁話！真有本事去年就該大聲說廣達 07/22 13:40

→ keepingtime : 今年上200！ 07/22 13:40

推 chachabo    : AI要GG了 07/22 13:40

→ bonaqabo    : 肉鬆丸子 07/22 13:41

噓 james80351  : 投資就是要馬後砲 07/22 13:41

推 DDDDRR      : 以長老為例 買綠賣紅 本多終勝 07/22 13:41

→ ej03xu3     : 酸沒有用 就算洩去年喊肉鬆 大家還不是覺得反指標 07/22 13:43

推 deepelves   : 當你在害怕與猶豫之前，股價早已經嘎翻天~ 07/22 13:43

→ benptt      : 廣達：....B 嘴 07/22 13:44

推 devidevi    : 不如追第一根紅棒... 07/22 13:45

→ devidevi    : AI股跌，就不要追了... 07/22 13:46

噓 hedgehogs   : 蹲到下市的你要不要陪 07/22 13:46

→ jayppt      : 知道守株待兔的結局嗎 第二次守兔守到餓死 07/22 13:47

→ jayppt      : 原本成語的故事 是個警世的寓言 07/22 13:47

→ opkl13006   : 算我求求你不要再說話惹 07/22 13:47

推 dos01       : 完蛋 今天是怎樣 老謝連發膩 07/22 13:47

推 zxcv75320   : 你怎麼不早說，馬後炮我有會，投資就是要在緯創30 07/22 13:48

→ zxcv75320   : 元左右就下去長期持有 07/22 13:48

噓 mirac1e     : 這咖講這話真的笑死 07/22 13:48

→ Refauth     : XD 07/22 13:50

→ Kenhon      : 老謝新聞連發 哈哈 07/22 13:50

推 joygo       : 等等守株待兔是一個不好的成語欸 07/22 13:53

→ joygo       : 意思妄想不勞而獲... 07/22 13:53

→ RayTn       : 老謝喊廣達,看來熱潮要結束了 07/22 13:54

→ wald5566    : 完了 07/22 13:54

噓 tml1203     : 不煩嗎，怎麼不去年說 07/22 13:54

噓 floatbear227: 聽他x鬼扯.漲啥推啥~~ 07/22 13:55

推 Lindbergh   : 意思是他早就賣了 然後在那邊糕點到了 07/22 13:55

噓 kami0857    : 老謝150不講兩百多才來蹭 07/22 13:58

