作者yuhton123 (阿俠)看板Stock標題[情報] 星宇航空 6月營收時間Mon Jul 10 15:33:56 2023 
→ DAEVA       : 花惹發07/10 15:34

噓 yoyodiy     : 超過100%? 統計不及格07/10 15:35

→ tomdavis    : MOM YOY超絕爆衝!07/10 15:35

推 allfate     : 正常，去年同期等於是沒獲利07/10 15:36

推 kevin7lin   : 明天一根嗎07/10 15:36

推 bigtree03   : 好猛07/10 15:36

推 learnbao    : +1463.27%%%%%%%%%%%%%%%%%%%%07/10 15:36

推 jaricho     : 好猛 月增那麼多07/10 15:37

→ jaricho     : 航線持續開07/10 15:37

噓 jamesLD     : 已反硬07/10 15:38

推 a19851106   : 自救會還會在嗎？07/10 15:40

推 zse24       : 明天買爆飛機07/10 15:41

→ Lotso0217   : 年增是火箭膩07/10 15:42

→ tinybunny   : 辣個點寫成撇嗎?07/10 15:42

推 CokeCake    : 噴啦噴啦07/10 15:43

→ tinybunny   : 它沒有漲幅上限 還沒綁安全帶的小心辣 07/10 15:45

噓 e73103999   : 哇操 明天連鎖三天..................... 07/10 15:45

推 hong888     : 噴到50自救會解散 07/10 15:45

→ Waitaha     : 50梯終於要解套了 07/10 15:46

→ zyi840449   : 錯了，然後就會有新的自救會成立 07/10 15:46

推 manlike     : MOM算錯了吧？ 07/10 15:49

推 supertsy    : 增加1倍叫100%,12倍不是1200%? 07/10 15:52

推 lsgsl       : 椅返映～ 07/10 15:54

推 f204137     : 現增才18元... 07/10 15:56

推 TroyeSivan  : 賣房all in了啦 明天一定100 07/10 15:58

推 tswen       : 起飛了 07/10 16:00

噓 e73103999   : 長榮航華航要開要多久 07/10 16:00

→ lc85301     : 台灣不歡迎雙增，下去 07/10 16:03

→ nisi0773    : 明天掛漲停還買的到嗎= = 07/10 16:05

推 allfate     : 興櫃沒有漲停... 07/10 16:07

推 poorcharles : 淨值個位數 炒這支要謹慎 07/10 16:12

推 manlike     : 哎呀，數字看錯 mom應該沒錯 07/10 16:12

推 DDDDRR      : 信仰飛機 噴 07/10 16:16

→ neowfish    : 這支看YOY會高潮的  恩  高興就好  顆顆 07/10 16:20

→ totoro7923  : 100見？ 07/10 16:29

推 playoneLa   : 航空明天通通起飛了啦～ 07/10 16:45

推 ss70239ss   : 航空元年，沒入手的只能在地面看導航燈 07/10 16:54

推 g0t24568    : 超扯的哈 07/10 17:03

→ JoJo2330    : 有本事漲到熔斷 07/10 17:13

推 f78507851   : 1463% 這營收不會飛起來? 07/10 17:28

推 waw20002002 : 噴爛 07/10 17:58

→ BruceChen227: 噴飛了 07/10 18:06

噓 GivemeApen  : 興櫃沒漲跌幅限制要鎖三小 來亂的喔 07/10 18:09

推 citycode    : 月增比長榮猛，這才是航空王 07/10 18:41

推 ss70239ss   : 相信K懂，年底就懂 07/10 19:20

推 lika        : 星宇增資何時才會拿到股票？？ 07/10 19:58

推 Hamchen     : 9月拿到，我也還在等 07/10 20:23

推 kci151468   : 請問9月拿到是哪邊查的？ 07/10 20:50

噓 bockychen727: 基數小隨便都好幾倍不是嗎 07/10 22:40

→ sonic4567   : 之前太少現在直接感覺多爆 07/11 00:59

推 willicw     : 一下就返航了.... 07/11 10:46
