作者steveisaman (who is the man)看板Stock標題[情報] 1226 上市櫃外資投信同買排行時間Tue Dec 26 23:34:37 2023

排行   股票名稱     成交    漲跌   投信買   外資買

1      3481群創     14.25   +0.6    8476    36049
2      2303聯電     50.8    +0.6    7361    18637
3      2891中信金   28      +0.15   3177    10448
4      2353宏碁     50.6    +1.6    2601    10520
5      2352佳世達   45.1    +0.25   1743    895
6      2603長榮     146.5   +4.5    1413    3449
7      4938和碩     88      +1.2    1344    1752
8      2408南亞科   78      +2.6    1228    4580
9      2886兆豐金   38.8    0       1154    1687
10     3711日月投   132.5   +1.5     872    1969
11     2379瑞昱     479     +9       757    233
12     2455全新     162     +3       749    234
13     2344華邦電   28.95   +0.75    664    15941
14     2474可成     194.5   +1.5     617    1
15     3045台灣大   97.8    +0.3     525    32

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 Kobe5210    : 有1檔 12/27 00:28

→ hock747     : 所有電視分析師都說，外資已經放假去了 12/27 07:00
