作者yakimochi (很傷人才業學程)看板Stock標題[新聞] 超微蘇姿丰傳下月來台 舉辦新品發表、挑時間Sun Jun 25 12:37:46 2023

原文標題：超微蘇姿丰傳下月來台 舉辦新品發表、挑戰輝達有譜

※請勿刪減原文標題

原文連結：https://udn.com/news/story/7240/7256691
※網址超過一行過長請用縮網址工具

發布時間：2023-06-24 23:27

※請以原文網頁/報紙之發布時間為準

記者署名：經濟日報 吳康瑋


※原文無記載者得留空


原文內容：


超微（AMD）全新人工智慧 (AI) 晶片 MI300X，及搭載 8 個 MI300X 的 AMD Instinct
運算平台已正式發表，其超強效能吸引全球矚目，外界看好其有望挑戰市場龍頭輝達（
NVIDIA）5月發表的AI超級電腦晶片；而市場則屢傳出董事長暨執行長蘇姿丰將於下（7）
月來台安排產品發表會等規劃，引起各界關注及各種熱烈討論。


伺服器大廠超微日前召開資料中心與人工智慧技術發表會，董座蘇姿丰除秀出旗下2大研
發成果，也公布超微在AI領域的最新成長策略，盼能藉此成功搶佔AI伺服器商機，吸引近
萬人同時上線觀看；她也直言，全球資料中心Al加速運算規模還只是開始 ，市場商機仍
在成長之中，她相信資料中心的Al加速運算總規模，將從現在300億美元，成長2027年超
過1500億美元。


據了解，超微自成立50多年來，持續推動創新高效能運算、繪圖及視覺技術，目前全球已
累計超過數十億的消費者，而世界500強企業以及尖端科學研究機構，也皆仰賴公司的技
術來改善生活、工作及娛樂；而超微員工致力於研發領先的高效能與自行調適產品，不斷
突破技術的極限。


業界人士也特地將超微在 Al 領域的 3 大策略整理出來，第一個方面是旗下的高效能CPU
和GPU產品，這些產品不僅適用於資料中心 、 邊緣運算 ，還可以在智慧終端裝置上進行
Al訓練和推論；第二個方面是軟體平臺，該平臺結合開源技術並經過驗證，使硬體的部署
和使用更加容易；第三個方面是跟 Al 產業夥伴的合作和共同創新，旨在進一步發展我們
的生態系統。


據公開資料顯示，超微2023年第一季度收入達54億美元，毛利率為44%，營業虧損為1.45
億美元，淨虧損為1.39億美元，每股攤薄虧損為0.09美元。在非GAAP（*）基礎上，毛利
率為50%，營業收入為11億美元，淨收入達9.7億美元，每股攤薄收益為0.60美元。




心得/評論：蘇媽要來台灣好像已經不是秘密了，畢竟台灣有著龐大的供應鍊

           或許也會拜會台灣廠商。

           這次蘇媽來有機會複製老黃來台灣帶起來旋風嗎?

※必需填寫滿30字，無意義者板規處分

推 jeff79723   : 電源買起來 06/25 12:41

推 JOKIC       : 上次有個新聞也是「傳」 06/25 12:45

推 solomonABC  : 鑽石能過海關嗎？ 06/25 12:52

推 s114752     : 噴 06/25 12:52

噓 YesNoter    : 刀客-發表完救市 來台救世 蘇媽-發表Vmd變Amd 06/25 12:53

推 a069275235  : https://i.imgur.com/L54u28H.png 06/25 12:57

→ idernest    : 送分題 06/25 13:10

推 TyuzuChou   : https://i.imgur.com/00WjYKF.jpg 06/25 13:24

→ TyuzuChou   : https://i.imgur.com/KHJSEpU.jpg 06/25 13:24

→ jenchieh5   : 那個早就沒用了 06/25 13:25

→ QQfat       : 很棒 但有電嗎? 06/25 13:29

推 Dxperado    : 送分題 06/25 13:36

推 bobjohns    : 來要產能? 06/25 13:37

→ peterabc1313: AI全面噴出 06/25 13:45

→ loveponpon  : 有智慧有權有錢有權謀 真棒 06/25 13:47

推 K0RVER      : 超級食神大賽評審 06/25 13:49

推 fly5566     : 蘇媽老蘇都說這"只是剛開始" 贏定了 06/25 13:58

推 yillusionwei: 我信蘇 06/25 14:00

推 akennyg0211 : 會穿皮衣嗎:) 06/25 14:07

推 orange21    : 這只是剛開始 06/25 14:14

→ baka1412    : https://i.imgur.com/w3UrVZt.jpg 06/25 14:21

推 qk3380888   : 99AMD 06/25 14:27

推 jo4         : 都演過了 沒賺到的知道怎麼做了吧 06/25 14:29

推 decorum     : 輝達有CUDA，AMD有競爭的東西嗎 06/25 14:36

噓 poi963841   : 大家都在關心刀客了 這間還重要嗎 06/25 14:36

→ appledick   : ALL IN GG就對了啦 06/25 14:41

推 zerro7      : NV特價中 現在買現省20美元 06/25 14:48

推 karta018    : 產能都被妳表舅拿光啦，電腦展畢典股東會都結束了， 06/25 14:57

→ karta018    : 開學典禮還很久，等個好時機再來吧 06/25 14:57

推 s987692     : amd就是ROCM 06/25 15:03

推 Jerry469    : 晚了就不要了 真的 06/25 15:11

→ dosiris     : 艸 06/25 15:12

→ b9513227    : 懂 歐印nv 06/25 15:22

推 aegis43210  : ROCm的問題是蘇嬤把繪圖及運算架構分拆，所以少了很 06/25 15:49

→ aegis43210  : 多使用者幫忙debug，CDNA現在只有大企業在debug和製 06/25 15:49

→ aegis43210  : 作應用軟體，進度上就慢了 06/25 15:49

推 wei9898     : 買GG就對了 06/25 16:12

→ Amewakahiko : 會賣給中國嗎？ 06/25 16:22

→ laechan     : 3600再戰五年，1030再戰五年 06/25 16:47

推 YYT33157    : 想被蘇媽騎 06/25 17:36

→ bonaqabo    : 晚了 我們已經不要了 06/25 18:55

→ tedcat      : 驅動程式的穩定度跟修bug速度麻煩提升一倍我們就信 06/25 22:32

→ tedcat      : 你... 06/25 22:32

→ kanehhh     : 一年前買AMD一年後換AMG 06/25 22:46

推 k798976869  : 老黃樂勝 06/26 07:05

推 WTF55665566 : 老黃皮衣 蘇媽要穿皮褲嗎？ 06/26 08:03

推 yesheyman   : 上週 amd宣布ROCm開源 之後應該追趕比較快吧 06/26 09:27

→ coneflwer   : 目標200 06/26 12:20
