作者peter724 (我是保育人員)看板Stock標題[標的] 2031新光鋼時間Sat Dec  2 08:30:02 2023
噓 CKHomo      : 當自己個版？ 12/02 08:35

→ peter724    : 一句話打死發文者，那就不發囉 12/02 08:37

→ peter724    : 看股版沒啥文章發文也不行，果然發文就是麻煩 12/02 08:38

→ sandwich1028: 1樓的點是什麼？為啥不能發 12/02 08:42

推 ptorbflqru  : 這檔我有 12/02 08:53

→ peter724    : 大戶買那麼多，等賺錢囉 12/02 08:57

噓 hihi29      : 他有的不發 沒有的連發三篇 笑死 12/02 08:57

→ peter724    : 小孩起床了，沒空再看了，祝賺錢XD 12/02 09:00

→ jerrylin    : 現在變太陽光電跟風電概念股 12/02 09:10

推 rex51920594 : 可以不用鳥一樓吧 12/02 09:35

噓 ggsize123   : 沒單就噓 休市當然沒文 沒違反版規本來就可以發 被 12/02 09:43

→ ggsize123   : 噓不會玻璃心就好 12/02 09:43

噓 m13579      : 無法接受被噓建議別發文 你有發文的自由 他噓文也 12/02 09:50

→ m13579      : 沒違反版規囉 12/02 09:50

推 hectorbibby : 42-48盤很久，一波不知道會到哪 12/02 09:57

推 s080014     : 我覺得標的文拿來參考很好，比只會噓噓樂的人好太多 12/02 09:59

→ s080014     : 了 12/02 09:59

推 HR888       : 有講出想法已經屌打一樓了 12/02 10:13

推 x221x221    : 1樓住海邊？ 12/02 10:14

→ sam8789     : 一種是我知道準備噴而買進，一種是我是原始股東市 12/02 11:32

→ sam8789     : 場要炒先倒給你們，跌回來再撿回來，下次行情什麼 12/02 11:32

→ sam8789     : 時候不知道。這兩個績效表現差很多喔，原物料要配 12/02 11:32

→ sam8789     : 合市場需求一起看 12/02 11:32

→ peter724    : 嗯嗯，是的，sam大說到重點了，這才是追蹤籌碼的目 12/02 12:51

→ peter724    : 的，看籌碼買的急不急，猜測大漲的可能否？ 12/02 12:51

→ peter724    : 不然就是sam大說的，原始股東漲麥跌買，較沒有攻擊 12/02 12:52

→ peter724    : 力道，不過可以當作下次進場的參考就是了 12/02 12:52

→ peter724    : 市場上還有許多公司派的籌碼都買來等，有時候都會 12/02 12:54

→ peter724    : 覺得如果錢夠多就每檔都跟著買，然後等到猴年馬月 12/02 12:54

→ peter724    : 機會財來的時候收割，問題是我沒那麼多錢，因此看 12/02 12:55

→ peter724    : 看沒把握就算了 12/02 12:55

→ peter724    : 對公司派來說，反正自己知道自己的公司不會倒，穩 12/02 13:00

→ peter724    : 穩的經營，就等機會財來臨收割 12/02 13:00

推 fatsologo   : 這是哪個App呢？ 12/02 15:28

→ peter724    : 三竹股市 12/02 16:34

推 stockton19  : 請問如何判斷兩個分點是公司派？而不是散戶 12/02 17:07

→ peter724    : 其實我就是猜而已，邏輯是只有自己知道風險，才會越 12/02 17:51

→ peter724    : 跌越買，過程中越賠越多，賠到不會有心理壓力還繼 12/02 17:51

→ peter724    : 續買 12/02 17:51

→ peter724    : 其次是看公司位置跟券商分點大概在半小時路程，大 12/02 17:53

→ peter724    : 約上下班開車通勤合理可以到達的地方 12/02 17:53

→ peter724    : 最後就是買的張數要夠多，好比60天累計買超第一名， 12/02 17:54

→ peter724    : 可以影響股價不跌甚至轉強的 12/02 17:54

→ peter724    : 邏輯大概是：越跌越買，張數越多，買了又跌，導致帳 12/02 17:57

→ peter724    : 面越賠越多，這要很清楚自己知道自己在做什麼，會這 12/02 17:57

→ peter724    : 麼了解公司的人，我會覺得是公司派 12/02 17:57

→ peter724    : 線型是有錢人畫出來的，業績eps是公司派做出來的， 12/02 18:01

→ peter724    : 餌很美味，因此要小心不要被釣到了 12/02 18:01

推 highken     : 不用理一樓 12/03 10:59

→ avcds1111   : 一樓沒必要啦 大家有想法發出來 自己判斷也不錯啊 12/03 12:13

推 hedgehogs   : 推分享 12/04 08:57

推 ptorbflqru  : 漲停板 12/15 14:14

推 ice0719033  : 厲害 12/16 00:23

推 chachabo    : 朝聖 12/19 22:17
