作者homura456 (叫我肥宅)看板Stock標題[新聞] 台積電驚天一擊 把一掛大廠打趴在地！謝時間Sat Jan 14 11:25:32 2023
→ jalai       : 抱BTC不是更爽? 01/14 11:27

→ a79111010   : 老謝小看INTEL  是不是要漲了 01/14 11:27

推 sandwich1028: 老謝真的很妙，看結果分析一把罩 01/14 11:28

推 a2006003    : 這個人推什麼迭什麼 01/14 11:30

噓 qwe78971    : 馬後炮新聞找我去寫就可以了 01/14 11:32

推 yao80106    : 洩精河 01/14 11:32

推 ter2788     : 完了 01/14 11:33

推 ethan0419   : GGGG 01/14 11:34

推 b77889999   : 啪一聲就變番茄醬了 01/14 11:35

推 ilapsara    : 東方神秘力量 01/14 11:36

推 lefan       : intel被看沒有 01/14 11:37

推 house911    : 牆頭謝? 馬後炮謝? 01/14 11:37

→ Atwo        : 風往哪邊吹 樹往哪邊倒 真機靈 01/14 11:39

推 kusocomtw   : 當市場上好消息越來越多就要注意了 01/14 11:45

推 uxy82       : 再打下去真的會變美積電 01/14 11:45

→ patrol      : 訊號來啦... 01/14 11:46

推 haha7456    : GG要被老謝害死了 01/14 11:46

推 smx82625    : 準備回370 壓身家 01/14 11:46

推 c123791598  : 抱股過年 01/14 11:47

推 gbman       : 丸子 01/14 11:48

推 donkilu     : 老謝下手太重了… 01/14 11:49

推 simo520     : BTC 01/14 11:49

→ Feting      : 今年才年初就在說全年EPS是否太早 01/14 11:51

推 s844012     : 風往哪邊吹，樹往哪邊倒。佩服佩服 01/14 11:52

推 FISH0225    : 完了，250收 01/14 11:53

→ Feting      : 新利空就是發現利空還沒出盡吧 01/14 11:54

噓 dufflin     : 笑屎 莫忘15年q1 社長也是相當樂觀啦 01/14 11:54

推 iansuture   : 謝謝 01/14 11:57

推 Swave       : 完惹 01/14 11:58

推 lc85301     : 完了 01/14 11:59

推 Argos       : 老謝說話了 GG200收 01/14 11:59

→ bonaqabo    : 都你在講 01/14 12:01

→ yourock     : 哪裡牆頭草，他向來都是看好台積電 01/14 12:02

推 BruceChen227: 260收 ^^ 01/14 12:02

→ xylinum     : 天真 01/14 12:03

推 WTweiting   : 轉折反指標出來了？怕 01/14 12:05

推 fdkevin     : 怕豹.jpg 01/14 12:06

推 topfree     : GG要爆炸了嗎 01/14 12:09

推 ManOfSteel  : 該放空了，反指標出現惹。 01/14 12:09

噓 BRANFORD    : 這下丸子 01/14 12:09

→ idernest    : 降龍十八掌最後一式 亢龍有悔 01/14 12:10

推 Marginal    : 丸子 01/14 12:10

推 as80110680  : 老謝怎麼鬼轉了，救命 01/14 12:12

推 NEWinx      : 下禮拜進場牙膏 01/14 12:13

→ gameboy666  : 這個人真的是韭菜指標，什麼紅就推什麼，然後就留 01/14 12:14

→ gameboy666  : 下來洗碗 01/14 12:14

推 jokem       : 空回300 01/14 12:14

→ ojh         : 血染東方一片紅 01/14 12:14

→ s89029      : 年後腰斬 01/14 12:15

推 MixBear     : 嘴砲仔 01/14 12:15

