作者joanzkow (星浪)看板Stock標題[新聞] 黃仁勳行程變動！輝達取消以色列AI高峰會時間Mon Oct  9 09:53:26 2023
推 g11121s     : 台灣地位更穩固了！ 10/09 09:54

噓 iyoiyo123   : 以色列全力打不用幾天就結束了 10/09 09:54

→ g11121s     : 星期三開高走高收最高 10/09 09:54

→ pkro12345   : 幫初也說俄國全力打不用幾天就結束 10/09 09:58

→ pkro12345   : 當 10/09 09:58

推 saihao      : 穩了，全力放在台灣 10/09 09:58

→ ohyakmu     : 鴻海表示  我的科技日呢！！ 10/09 10:00

推 ppc         : 戰爭的變數就是周遭的伊斯蘭國家的反應 10/09 10:04

推 strlen      : 俄國那種紙老虎你拿來跟以色列這種瘋狗比 10/09 10:05

噓 iyoiyo123   : 烏克蘭跟巴勒斯坦的軍備實力能比嗎..而且現在米帝 10/09 10:05

→ iyoiyo123   : 支持的是以色列不是巴勒斯坦欸……. 10/09 10:05

→ iyoiyo123   : 真的露出微笑了 10/09 10:05

推 phoenixtwo  : 會怕就好 10/09 10:08

噓 zombiepigman: 嘉偉老師救命 10/09 10:09

推 deepelves   : 哈瑪斯連一萬個士兵都湊不齊，以色列陸軍起碼60萬 10/09 10:12

→ deepelves   : 除非伊朗想下場打啦，但以色列跟瘋狗一樣 10/09 10:13

推 opcomtt     : 這樣緯創會不會跌停呢？ 10/09 10:14

→ s860703     : 理想幾個小時打下來，現實就是要輾過去都無法？ 10/09 10:15

推 yakimochi   : 更重視台灣了 台廠利多 10/09 10:17

→ ev331       : 伊朗做這對他自己有什麼好處 10/09 10:19

→ jalai       : 快投資以色列 財富自由就靠這次了!!!!!!!!!!!!!! 10/09 10:25

推 kensmile    : 以色列陸軍不到20萬 10/09 10:27

→ kensmile    : 哪有60萬 10/09 10:27

→ kensmile    : 巴勒斯坦一直被打，是因為沒有空軍 10/09 10:28

→ ev331       : 加後備 10/09 10:28

→ kensmile    : 每次都被以色列轟炸 10/09 10:28

→ kensmile    : 這次以色列情報失靈 10/09 10:29

→ ev331       : 可是有人講約旦河的巴勒斯坦 更討厭哈瑪斯耶 10/09 10:29

→ kensmile    : 哈瑪斯比以前強多了 10/09 10:29

→ ev331       : 他們跟加薩走郎的哈瑪斯不同政府 10/09 10:29

→ ev331       : 他們有想打嗎 10/09 10:30

→ kensmile    : 他們就比較激進 10/09 10:30

→ kensmile    : 有些阿拉伯國家不認同 10/09 10:30

→ kensmile    : 哈瑪斯現在和伊朗走很近 10/09 10:30

→ kensmile    : 共同敵人 10/09 10:31

→ ev331       : 一萬人不夠打吧 而且伊朗有什麼名義打 10/09 10:32

→ ev331       : 你是有在研究中東政治這塊嗎 10/09 10:33

→ kensmile    : 什麼1萬人 10/09 10:33

→ ev331       : 哈瑪斯啊 10/09 10:33

→ kensmile    : 他們控制加薩走廊，背後有很多支持者 10/09 10:33

→ kensmile    : 至少10萬 10/09 10:34

→ kensmile    : 什麼1萬人 10/09 10:34

→ kensmile    : 你知道加薩走廊人口多少嗎 10/09 10:35

→ kensmile    : 200萬 10/09 10:35

推 pttstock    : +~老輸 浮木沒了 10/09 10:38

推 lolpklol0975: 哈瑪斯沒錢..一定有大國背後給金援 10/09 10:38

→ lolpklol0975: 通常是俄羅斯這次不好說 10/09 10:39

推 deepelves   : 以色列現役加後備役就是至少60萬人 10/09 10:39

→ NexusPrime  : 200萬百分之99都平民吧，沒用，哈瑪斯也不可能有給 10/09 10:39

→ NexusPrime  : 200萬人的裝備 10/09 10:39

→ deepelves   : 而且都是訓練精良的，昨天才有美國飛回去以色列的 10/09 10:39

→ kensmile    : 有沒有類似第一次世界大戰，各地開始點火 10/09 10:40

→ deepelves   : 200萬人都是烏合之眾是能打得過裝備精良的60萬嗎 10/09 10:40

推 a069275235  : 嘉偉老師的大利多 丸子 10/09 10:40

→ deepelves   : 而且又沒有制空權，卡車出來就是被炸爛 10/09 10:40

→ kensmile    : 此一時彼一時 10/09 10:40

→ kensmile    : 哈瑪斯絕對難打 10/09 10:41

→ kensmile    : 以前以色列可以稱霸巴勒斯坦 10/09 10:41

→ kensmile    : 是因為伊朗伊拉克都在戰亂 10/09 10:41

→ deepelves   : 民兵組織還能吹成軍事大國喔，他們連防空武器 10/09 10:42

→ kensmile    : 現在兩個是麻吉 10/09 10:42

→ kensmile    : 什葉派當權 10/09 10:42

→ kensmile    : 背後挺哈瑪斯，就夠了 10/09 10:42

推 bryen       : 你以為台股不會補跌嗎？別傻了 10/09 10:42

推 dosiris     : 各位觀眾 轉單效應 10/09 10:43

→ s860703     : 講那麼多以色列又還沒打贏 10/09 10:43

→ deepelves   : 都只是爛爛的火箭彈或機槍吧 10/09 10:44

→ deepelves   : 以色列1973年贖罪日戰爭還沒有到戰力絕對輾壓 10/09 10:44

→ IBIZA       : 不要鬼扯了 除了第五次以阿戰爭  其他以阿戰爭都在 10/09 10:45

→ deepelves   : 20天就打贏了 10/09 10:45

→ kensmile    : 一次發射5000枚，最好都爛爛的 10/09 10:45

→ IBIZA       : 兩伊戰爭之前  哪來的伊朗伊拉克都在戰亂 10/09 10:45

→ IBIZA       : 之前的以阿戰爭發生時  伊朗幾乎都還是美國盟友 10/09 10:45

→ ej03xu3     : 老蘇：我的利多QQ 10/09 10:45

→ kensmile    : 我講的是衝突 10/09 10:46

→ IBIZA       : 所以都是伊拉克幫阿拉伯打 伊朗沒動手 10/09 10:46

→ kensmile    : 何時提到以阿戰爭 10/09 10:46

→ kensmile    : 自己腦補 10/09 10:46

→ IBIZA       : 兩伊打完  伊拉克就被美國打成豬頭了 10/09 10:46

→ kensmile    : 誰提到以阿戰爭？ 10/09 10:46

→ ev331       : 不過你為什麼當初會猜是伊朗給的軍火 10/09 10:47

→ IBIZA       : 第五次以阿戰爭之後  哪來甚麼空不空均的問題 10/09 10:47

→ IBIZA       : 第五次以阿戰爭之後  哪來甚麼空不空軍的問題 10/09 10:47

→ IBIZA       : 之後就是長期和談 區域情勢平緩 剩下局部戰鬥 10/09 10:47

→ IBIZA       : 從來沒有全面戰爭 哪來的甚麼哪國支援空軍的問題 10/09 10:48

→ kensmile    : 前面在說甚麼，雞同鴨講 10/09 10:48

→ IBIZA       : 好了啦  不要掰錯在那邊凹 10/09 10:48

→ kensmile    : 誰講全面戰爭 10/09 10:48

推 deepelves   : 哈瑪斯2021就在用便宜且大量的火箭彈攻擊了 10/09 10:49

→ kensmile    : 這都是你自己腦補 10/09 10:49

→ deepelves   : https://reurl.cc/a4Lja3 10/09 10:49

→ kensmile    : 誰在凹 10/09 10:49

→ IBIZA       : 兩伊這次還是沒機會一起幫哈瑪斯 10/09 10:49

推 dosiris     : 誰講戰爭？ 10/09 10:49

→ kensmile    : 大家有提到全面戰爭嗎 10/09 10:49

→ IBIZA       : 現在就是戰爭啊 10/09 10:49

→ kensmile    : 根本沒有 10/09 10:49

→ kensmile    : 一進來就亂咬 10/09 10:50

→ IBIZA       : 各國正規軍不派出來  哈瑪斯就是被輾 10/09 10:50

→ IBIZA       : 派出來也是沒用 打不贏 10/09 10:50

→ IBIZA       : 哪裡沒有 這次不就是戰爭 以色列都說了 10/09 10:50

→ deepelves   : 把土炮的便宜火箭彈吹成尖端軍武要幹嘛 10/09 10:50

→ IBIZA       : 預備軍也在徵召了 你還在狀況外 沒有60萬 10/09 10:50

→ kensmile    : 又不是你打 10/09 10:50

→ IBIZA       : 也不是你打啊笑死 10/09 10:51

→ kensmile    : 講這些都是猜 10/09 10:51

→ dosiris     : 大規模反恐行動 不是戰爭 10/09 10:51

→ kensmile    : 你怎麼那麼笑死 10/09 10:51

→ IBIZA       : 以色列昨天說了 這就是戰爭 10/09 10:51

→ kensmile    : 天天笑死，是要死幾次 10/09 10:51

