作者Paul1021 (胡迪)看板Stock標題[新聞] 緯創、緯穎高層賣股 惹議時間Wed Jun 14 09:29:52 2023
推 sanwan      : 高層認證現在是高點 06/14 09:30

推 ab4daa      : 塊陶 06/14 09:31

→ f78507851   : 差不多了 肥肉有賺的應該都拿不少 06/14 09:32

推 photonic    : 高歌離席 不現在走 何時走 哈哈 06/14 09:32

推 Wallen      : 快點回69啊，相接 06/14 09:32

推 andy80704   : 快跑 06/14 09:33

推 yujawe      : 高檔不賣才是傻了吧 06/14 09:33

推 mark60917   : 這篇一發，緯創就噴上去了 06/14 09:33

推 kinki999    : 高檔不賣，他們也持很久了 06/14 09:34

→ blue1204    : 可是今天噴噴 06/14 09:34

推 sanxiao     : 自己人都知道炒太高了 呵呵 06/14 09:34

推 peace000    : 緯創今天一定漲停 06/14 09:35

推 aweara      : 1,856萬元? 笑死 那麼少 也可以說 06/14 09:35

推 Chilloutt   : 要噴了，前妻還沒來 06/14 09:36

推 mark60917   : 想要壓低吃貨的新聞，沒想到噴噴 06/14 09:36

推 HaHaPoint   : 衝啊 06/14 09:37

→ Wallen      : 怎麼會大漲？？ 06/14 09:37

推 windblood   : 有什麼好議的 06/14 09:38

推 hook99      : 高價獲利有錯嗎？大家都這樣做啊 06/14 09:38

推 cs2260cs    : 那是五月，股價5x元賣的，現在都7x元了 06/14 09:40

推 photonic    : 無所謂阿 後面讓散戶自己玩 反正大戶都走了 06/14 09:41

→ lluunnaa    : 如果我持股價低,也會想賣啊XD 06/14 09:41

推 apolloapollo: 現在不高割 不然啥時割 06/14 09:41

推 kingkehor   : 這不就是那個一張不賣，奇蹟有自來的2.0 06/14 09:42

推 aweara      : 菜鳥記者! 一堆人賣股總共1,856萬元 也在大驚小怪 06/14 09:43

→ aweara      : 笑死 06/14 09:43

→ thinksilver : 訊號來了 06/14 09:43

→ zerro7      : 不到300張也能報喔... 06/14 09:44

推 a76126      : 笑死 6669直接填息噴上去 06/14 09:44

→ zerro7      : 400張才對 06/14 09:44

推 pttstock    : 高歌離席 記者追高怕了齁 :) 06/14 09:45

推 xyzgod999   : 滅世崩盤大將軍10秒後抵達戰場 06/14 09:45

