作者newbrain ()看板Stock標題[新聞]季節指標修訂美國12月CPI月增率由下降修正時間Sun Feb 12 03:02:43 2023
→ a79111010   : 世界真的跟不上台灣 02/12 03:04

噓 a000000000  : 主要就下跌的二手車價權重調低惹 02/12 03:05

→ a000000000  : 尼照這權重去看   之前通膨反而下降惹 02/12 03:05

推 rayisgreat  : 嘿嘿嘿 02/12 03:06

→ newbrain    : 密大 指出現在通膨又上升了喔.. 02/12 03:09

→ newbrain    : 一月的二手車價是漲不少的 指標隨他調就好了 02/12 03:10

推 turtle66    : 救命啊 02/12 03:10

→ newbrain    : 市場不理性 反過來做就對了 02/12 03:11

→ newbrain    : 我懷疑為了救一月的指標 因為二手車指標上升了 02/12 03:12

→ newbrain    : 特地把這指標調低讓12月升但1月可以降或不要太誇張 02/12 03:12

推 oyaji5566   : https://i.imgur.com/6TSLYfc.png 02/12 03:16

噓 phylen      : https://i.imgur.com/qGWXwSW.jpg 02/12 03:52

→ phylen      : 這消息星期五盤中就公佈了好嗎 02/12 03:52

→ phylen      : nvda被嘎不少齁www 02/12 03:52

推 laba5566    : 不是修正 是掩護大戶出貨出完惹 不演惹 02/12 04:11

推 yoshilin    : 校正回歸被學走了 02/12 04:21

噓 DrGun       : https://i.imgur.com/HU7WSig.jpg 02/12 06:43

推 goodbye     : 美國王美花 02/12 07:42

推 lieking99   : 鮑爾不是草包，只是先嘎空草包 02/12 07:48

推 imba789     : 硬要軟著陸，跟市場溝通到後面被 02/12 07:55

→ imba789     : 看沒有 02/12 07:55

推 ter2788     : 這次修正影響的的季度調整後的數字 因為整年的標準 02/12 08:01

→ ter2788     : 一樣所以並不會影響同比 02/12 08:01

→ ter2788     : 今年的標準修正要等2/14才會來 02/12 08:02

→ ter2788     : 所以今年的數字是多少要看今年調整 我認為調整後會 02/12 08:03

→ ter2788     : 往下 02/12 08:03

噓 k75131      : 臭鮑魚 02/12 08:09

推 ethan0419   : 數據都是為了大戶服務 02/12 08:16

推 mecca       : 已反應 02/12 08:24

推 guky        : 二月份一堆吃的又漲價了 恐怖 02/12 08:26

→ lc85301     : 臉著陸 02/12 08:35

推 pwseki206   : 丸子，會不會情人節CPI爆死啊。那這樣情人節和牛大 02/12 08:41

→ pwseki206   : 餐要降級夜市牛惹 02/12 08:41

推 a26893997   : 傻傻的 先調高12月的 1月的開出來不就更容易下降 還 02/12 08:53

→ a26893997   : 不噴爛 02/12 08:53

噓 a000000000  : 一月漲的是二手車批發價   零售價到這周才持平 02/12 09:00

噓 rb731024    : 真好笑 先騙一波，在修正說我們搞錯了 02/12 09:02

推 Dimitre     : 情人節CPI變盤 崩盤崩爽爽 02/12 09:08

→ faelone     : 校正回歸 02/12 09:15

推 gibbs1286   : 這是兩回事吧… 02/12 09:24

→ gibbs1286   : 季調本來就會變動啊 02/12 09:24

推 ter2788     : 這個數字是修正 去年季調後的數字 02/12 09:36

→ ptta        : 修正後反而變高，勞工部要挖坑給拜登？ 02/12 09:38

推 ter2788     : 其實不難理解 這數字是去年的 已經反應過 數字變高 02/12 09:40

→ ter2788     : 之後 今年就更容易下降嘍 02/12 09:41

→ Windtears   : 房租比重增加，但房租整個1月似乎沒有什麼下降了 02/12 09:58

推 way512      : 去年的去年的去年的 02/12 10:07

推 MrJack      : 看推文感覺空手跟空軍真的不少 02/12 10:18

→ deepdish    : 通膨還沒結束 02/12 10:28

→ deepdish    : https://i.imgur.com/Bgbvi64.png 02/12 10:28

推 CZOM        : 股市漲不漲例外，我只希望台灣物價可以低一點..吃 02/12 10:31

→ CZOM        : 的都漲很多 02/12 10:31

推 apcr1115    : 空空真多 嘻嘻 02/12 10:33

推 poeoe       : 多多是不是在怕了啊XDD 02/12 10:36

推 k798976869  : 還可以偷改數據喔 是非可以這樣顛倒嗎 02/12 10:39

→ leon7pupu   : 短空長多 還有人要空一整年啊 等著底3季開始被尋求 02/12 10:50

→ leon7pupu   : 連任的拜登嘎到失智 02/12 10:50

推 gialon12    : 傻空一堆 被嘎到崩潰惹 02/12 11:15

推 jwiww       : https://i.imgur.com/T09zOVT.jpg 02/12 11:21

推 ethan0425   : AI說要大跌了，看來繼續作多 好了～XD 哪這麼簡單 02/12 11:47

→ ethan0425   : 預測 02/12 11:47

推 Mos22       : 數字遊戲呵呵 02/12 11:59

→ newbrain    : 就當我們空軍是來壯膽的好了，哈哈 02/12 12:14

→ mcucte      : 有臭台灣政府的味道 02/12 12:23

→ alongalone  : 太會了吧 02/12 12:26

→ luben       : 果然是台灣南波萬  Fed真的太廢 02/12 12:30

推 OEC100      : 房租比重上升很好阿，本來什麼問題最嚴重比重就應 02/12 13:19

→ OEC100      : 該要高，不像台灣邏輯是反過來 02/12 13:19

推 kkchen      : 利空出盡，美股又要噴出了嗎？ 02/12 14:09

→ newwu       : 全年的yoy還變少勒  就算法逆回去修正  不過core變 02/12 14:38

→ newwu       : 0.4 0.3增加了通膨是否結束的不確定性 02/12 14:39

→ newwu       : 權重調整房租佔比一定變高，倒頭還是要等房租掉 02/12 14:40

→ newwu       : 因為房租漲太多了，比起其他能縮手  這不好避免 02/12 14:41

推 champion0922: 空軍啟動 02/12 15:31

推 MrTwo       : 房租要掉很難，現在利率那麼高，房價也沒掉，我寧願 02/12 17:38

→ MrTwo       : 現在繼續租房也不買。 02/12 17:38

→ ter2788     : 為啥是空軍壯膽? 美國政府調整肯定是有利cpi下降才 02/12 20:29

→ ter2788     : 要調整阿 所以明顯是利好多蛙阿 02/12 20:29

→ ter2788     : 那個政府會故意虛增通膨數字 02/12 20:30

→ ter2788     : 所以我才會覺得 這次cpi開獎數字一定是往下的 證明 02/12 20:31

→ ter2788     : 政府打擊通膨有效 02/12 20:31

推 hfhf        : 已知利空，嘎死你哦 02/12 23:12
