作者steveisaman (who is the man)看板Stock標題[情報] 0602 上市櫃外資投信同買排行時間Fri Jun  2 20:38:30 2023

排行   股票名稱      成交    漲跌   外資買   投信買

1      2883開發金    12.9    +0.1    5365    1694
2      3711日月投    116.5   +4.5    4855    7832
3      2618長榮航    36.45   +0.45   3114    24403
4      2002中鋼      29.4    +0.3    2602    160
5      2882國泰金    44.45   +0.45   1706    282
6      8046南電      308     +9.5    1539    1642
7      8069元太      218     +9      1132    3565
8      2344華邦電    28.5    +1.9     866    45801
9      2449京元電子  54.2    +1.8     767    3409
10     6176瑞儀      121     +1       753    525
11     4129聯合      72.1    +0.9     740    732
12     6282康舒      49.85   +4.5     732    7542
13     4938和碩      77.1    +1.4     715    4658
14     3033威健      31.3    +0.25    699    406
15     1102亞泥      44.25   +0.2     554    477

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 twic        : 鰻魚又香了? 06/02 20:42

推 devidevi    : 改成用外資排序了??難怪覺得今天怪怪的 06/02 21:06

推 djohn       : 鰻魚要飛了 06/02 23:34

→ teve429     : 99康叔，下禮拜要被隔日沖倒爛了 06/03 11:52
