作者Alison5566 (艾利森)看板Stock標題[請益] 還沒升息萬八 升息後萬七的原因是什麼時間Fri Nov 17 12:58:44 2023

在通膨最高的時候 指數最高到萬八
當時美元還在27 28附近
然後升息升了兩年到最近預期明年降息
利率上升5.5%準備隨時往下 指數在萬七

所以升息影響對股市水位來說 沒什麼差別嗎
還是錢太多根本不會太大影響？

噓 JessVeron   : 因為你買了萬八，你沒買萬七 11/17 13:00

噓 Moneytaker  : 耍你啊 11/17 13:01

→ deepelves   : 降息是賣點不是買點是好朋友我才告訴你的 11/17 13:01

→ eemail      : 你到底想問什麼? 11/17 13:01

推 Gipmydanger : 答案都給了還虧錢https://i.imgur.com/amFwX4b.jpg 11/17 13:02

推 Kobe5210    : 麻煩Google 一下美元跟歐元的資產負債表。 11/17 13:03

→ Kobe5210    : 麻煩查一下全球美元跟歐元的發行總量遞增跟下跌的 11/17 13:03

→ Kobe5210    : 斜率。 11/17 13:03

→ Kobe5210    : 所謂的總經專家網紅只有五個字形容： 11/17 13:03

→ Kobe5210    : 見樹不見林 11/17 13:03

→ Kobe5210    : 就跟聽過E=MC平方，跟學會推導質能守恆公式，是兩 11/17 13:05

→ Kobe5210    : 件不相干事情一樣。 11/17 13:05

推 alexxlee    : 美債疑慮解除 外資回補金融 新周期開始 11/17 13:06

→ alexxlee    : 推錯 XD 11/17 13:07

推 maxboy06    : 因為月月配ETF給台股支撐性太強 11/17 13:08

→ onekoni     : 放水股市漲，收水股市跌 11/17 13:08

推 prostar     : 升息錢不見了嗎？ 11/17 13:08

→ maxboy06    : 之後外資只能高檔回補 再把指數墊上去 11/17 13:08

推 hopecity    : 等開始降息我覺得會崩 11/17 13:09

→ ExtremeNai  : 通膨最高不是去年Q2Q3左右嗎 11/17 13:10

推 k91011022   : 太多人說降息會崩 就不會繃了 11/17 13:12

噓 ups         : 窩不知道^^* 11/17 13:15

噓 PC9527      : 你不知道回什麼 11/17 13:18

噓 abcalmighty : 所有東西都漲價 怎麼可能會有便宜的股票讓你撿 11/17 13:18

推 op520       : 錢還是太多了 11/17 13:18

推 la8day      : 太多人說太多人說降息會崩就不會崩就會崩了 11/17 13:19

推 F93935      : 18.8倍了 https://i.imgur.com/grQcddp.jpg 11/17 13:21

噓 loopdiuretic: 窩不知道 11/17 13:24

推 Detonate    : 因為你還沒買 11/17 13:29

→ Lowpapa     : 需要時間發酵阿  就問  你打手槍都是秒射嗎??? 11/17 13:30

推 flyingdeeck : 都程式演算，先看散戶的單再決定方向 11/17 13:34

→ flyingdeeck : 把權利金榨乾不是說假的 11/17 13:35

推 kevin31a2   : 很重要嗎？ 11/17 13:37

→ NEX4036     : 就是上看兩萬的意思 11/17 13:41

噓 final01     : 生息你就不用吃東西嗎... 11/17 13:44

推 centuryboy  : 預判你預判中的預判的預判 11/17 13:44

→ final01     : 為何生息不會w7 11/17 13:44

→ rbelldandy  : 只有人股市就不會跌,因為炒-什麼東西都通膨股票也是 11/17 13:44

→ AndyMAX     : https://imgur.com/el21mV3.jpg 11/17 13:51

推 playgun921  : 1樓正確~ 11/17 14:09

推 lizardc1    : 因為你空了 所以漲了 就是這麼簡單 11/17 14:09

→ stocktonty  : 2004~2006升息循環股市也是漲的 11/17 14:11

→ knives      : 不從股市拿錢回來，難不成你要企業現在去發超過5%的 11/17 14:14

→ knives      : 公司債拿錢來投資嗎，當然是愈炒愈高阿 11/17 14:15

噓 dos01       : 講很多次了 慘套多蛙喊著要升息救股市就是智商有問 11/17 14:17

→ dos01       : 題 嫌自己死不夠慘而已 11/17 14:17

→ dos01       : 會被五毛網軍拉去信這個自己檢討一下智商好不好 11/17 14:17

推 suzu1       : 錢發出去怎麼收回？升息錢還是在那邊 11/17 14:17

噓 dos01       : 縮表 11/17 14:19

推 Loda29      : 因為大家都還有很多錢 11/17 14:22

推 mackdaddy   : http://i.imgur.com/LEMBNhm.jpg 11/17 14:23

→ mackdaddy   : 因為三重冰綠停損了 11/17 14:23

推 min86615    : 降息不會崩，是崩了才降息 11/17 14:27

→ DK1121      : 痛呀！ 11/17 14:27

推 qwesazx     : 因為全世界散戶都知道最後股票還是會創新高，買etf 11/17 14:27

→ qwesazx     : 放著就好了 11/17 14:27

推 ckyuzi      : 認真回台商資金回流 11/17 14:33

→ ckyuzi      : 推升台股成交量一去不回 資金總要停泊吧 難道放台 11/17 14:34

→ ckyuzi      : 幣定存 11/17 14:34

推 asirk124    : 因爲整體上市公司還是一直賺錢，這些錢會累加下去 11/17 14:37

推 ezreal1315  : 因為那跟債有關跟股沒關 11/17 14:43

推 boy1031     : 基本面太好，很簡單，賺大錢的公司就值更多錢罷了， 11/17 14:45

→ boy1031     : 美股陸股更是吹牛吹上天，一堆垃圾股炒出天價 11/17 14:45

推 rosenzulu   : 你知道為什麼要降息嗎 你看看歷史上的降息紀錄 11/17 14:48

→ yiersan     : 降息時左右才會崩 的確 11/17 14:50

→ yiersan     : 通常是出了大事 雷曼 肺炎 例如 11/17 14:51

推 Brioni      : 降息就是市場有些公司要GG 11/17 14:58

推 fly5566     : 因為基本面20年來最好 11/17 15:32

推 ab304044    : 誰的水晶球預期明年一定降息 11/17 15:44

推 c928        : 你們勞工的退休金都在裡面 11/17 15:45

噓 ohya111326  : 問神啊 11/17 15:52

推 allen1988   : 不炒上來在高點倒貨，難道要賣在萬2砸自己的腳？ 11/17 15:57

推 NomoreSeven : 通膨已經下來了 請領失業金人數開始攀升 你他媽不 11/17 16:13

→ NomoreSeven : 先降息難道等經濟搞壞了才降息 預防性降息有沒有聽 11/17 16:13

→ NomoreSeven : 過啦 11/17 16:13

推 ecnecsinimer: 難道前陣子台積電營收新高假的嗎 11/17 16:24

噓 Sugimoto5566: 供仨小 11/17 17:15

→ xxgogg      : 我不是很懂問這問題和你投資有什麼關係？？？ 11/17 17:45

→ xxgogg      : 一直看到有人說降息崩 11/17 17:47

→ xxgogg      : 我就問2020年3月降息後崩了沒 11/17 17:47

推 katanakiller: 錢越變越多股市就是會一直墊高啊 11/17 18:05

推 allen1988   : 有崩啊，2020/3/16Fed緊急降息到0%週一美股直接熔 11/17 20:04

→ allen1988   : 斷。 11/17 20:04

噓 tw19930419  : 你有用腦子嗎 11/18 02:22

→ mcucte      : 不就印鈔，水漲船高，房價、物價、股價，前兩個漲 11/18 07:46

→ mcucte      : 幅稍為停滯，股價就吃大部分啊！ 11/18 07:46

推 k374318     : 利率低，貸款股市報酬都能贏 11/18 22:11

推 imba789     : 選舉阿 11/19 05:32
