作者VANNN ()看板Stock標題[新聞] 中國金融炸鍋！中植系旗下中融信託暴雷時間Mon Aug 14 12:10:20 2023
→ leavefly    : 跟恆大碧桂圓比只是小事~只會影響高淨值客戶 08/14 12:11

→ kausan      : 你有先除14e嗎 08/14 12:11

推 f204137     : 看到中 就先殺中字輩金融... 08/14 12:11

推 Carr77      : 中國企業舉債發展大多靠土地房產抵押 如果房地產出 08/14 12:11

→ Carr77      : 事 整體資金就斷鏈了 08/14 12:11

推 godog       : 台灣不一樣 跌的比上證多 = = 08/14 12:11

推 Moneytaker  : 席帝下台！席帝下台！ 08/14 12:12

推 a0808996    : 炒房真的是殘害後代 08/14 12:12

推 poeoe       : 讚讚 靠中國搞事了 08/14 12:13

→ a0808996    : 把下一代的未來都透支了 08/14 12:13

→ a47135      : 買賣金額統計表應該要把外資陸資拆開 08/14 12:14

推 ethan0419   : 台股跟陸股連動惹 08/14 12:14

→ baka1412    : https://i.imgur.com/vAP35sR.jpg 08/14 12:15

推 permanent27 : 炒房真的不應該 08/14 12:15

→ Feting      : 陸股今年那麼爛，台股今年漲那麼多，當然很多肉可 08/14 12:16

→ Feting      : 以殺... 08/14 12:16

推 Carr77      : 又有五毛來亂中國放棄在香港掛牌 香港跌什麼狗屎樣 08/14 12:16

→ Carr77      : 自己看看 08/14 12:16

→ Carr77      : *中國房企 08/14 12:16

推 Homeparty   : 反觀 08/14 12:18

→ stkoso      : 今天恆生-2.4% 台股-1.5% 五毛表示台股殺爛了 08/14 12:20

推 chanel1259  : 我只想知道新字輩的股票該賣嗎 08/14 12:20

推 awss1971    : 中植暴雷 08/14 12:20

→ awss1971    : https://i.imgur.com/0eQRBNt.jpg 08/14 12:20

推 suzu1       : 沒關係不影響台灣 08/14 12:22

推 jokem       : 台股也炸鍋了啦 08/14 12:24

→ faultless   : 有低點可撿了嗎 08/14 12:24

推 asirk124    : 難怪金融和租賃今天爆炸 08/14 12:24

推 ricky525    : 2016就有錢荒的同時央企還高價搶地 那時就無規則了 08/14 12:24

推 jerrylin    : 中國又憑空蒸發了幾千億 08/14 12:25

→ lakershank  : 台股金金曝險部位跌這樣算很客氣了 08/14 12:25

→ ricky525    : 但中國體量大這些都還是能撐得過 但疫情封城2年 08/14 12:27

→ Leo4891     : 前進中國就是被坑殺  再鼓吹投資中國 錢進中國阿 08/14 12:28

推 lc85301     : 除以 14 億小錢而已 08/14 12:28

→ ricky525    : 讓經濟完全停擺 才是讓信心崩跌 08/14 12:28

→ ahg         : 全都是泡沫～～～～ 08/14 12:28

推 ctx705f     : 責任全在美方 08/14 12:30

推 planetli    : 看成全都是泡芙 08/14 12:30

推 kobi0910    : 分攤到全體中國人身上 等於沒賠錢 08/14 12:30

→ FlynnZhang  : 垃圾國家 整天在那邊雷 08/14 12:33

推 kklighter   : 子女全在美方 08/14 12:33

→ kklighter   : 再多的債除14億人民，還是濕濕碎啦 08/14 12:34

推 swanc       : 類雷曼？ 放心啦 中國政府會出來維穩的 08/14 12:34

推 Waitaha     : 看成中信金 08/14 12:34

推 NeGe56      : 各種問題，除以14億都微不足道 08/14 12:35

推 starport    : 小波浪而已 中必贏 08/14 12:36

推 kevin31a2   : 你們中國炸怪美國真好笑 08/14 12:36

