作者S9125126 (SS)看板Stock標題[標的] 大盤還是期望用技術分析看多時間Fri Dec 22 14:32:33 2023
推 harry458031 : 這不就亞當理論嗎 12/22 14:35

推 chanel1259  : 要我突襲庫內批新聞 12/22 14:39

推 GoGoD       : 原來是股神 12/22 14:46

推 DingKong    : 賺爛了 12/22 14:50

→ dreamnook2  : 靠賽 12/22 14:51

推 clusis      : 好深奧 12/22 14:53

→ S9125126    : 上網看一下N型態分析就看得懂了 12/22 14:57

推 Gipmydanger : 跟大家樂名牌87%像 12/22 15:01

→ iloveglay   : 問一下，你這樣是不是每個回檔都能畫一次，然後就無 12/22 15:20

→ iloveglay   : 限往上漲？ 12/22 15:20

推 fatb        : 太保守了 選舉前上2萬 12/22 15:25

→ S9125126    : 其實我畫錯了 但我也懶得改了哈哈哈 ... 12/22 15:53

→ Kenhon      : Cc 12/22 16:06

推 borry6299   : 上萬八衝今天最後買點 12/22 16:12
