作者win8719 (win8719)看板Stock標題[新聞] 台灣加拿大完成投資協議談判 助攻台企全時間Wed Oct 25 14:19:31 2023
推 cityhunter04: 八卦X只會出來酸：簽這個我能加薪10萬嗎？ 10/25 14:22

推 swbthj      : 有投資的人確實可以多賺十萬以上 10/25 14:25

→ suendy      : 台企銀噴！ 10/25 14:26

推 Orianna     : lululemon是真正的台加友好 台灣的布 他們的品牌 10/25 14:29

推 jacid       : 正穿roots...期待讓遠東新發發發～ 10/25 14:44

推 lc85301     : 簽這個我能加薪10萬嗎？(欸 10/25 14:49

推 pwseki206   : NPI在北美乃至於全球再生能源都是大咖，最好加拿大 10/25 14:53

→ pwseki206   : 不重要啦。而且加拿大有油礦砂，如果台灣要投資這 10/25 14:53

→ pwseki206   : 種能源的話有協定更好不是 10/25 14:54

推 HenryLin123 : 八卦仔小心不要簽到豬仔合約喔，月薪十萬。 10/25 14:56

推 jacid       : 文中寫到台積電要對加投資？ 應該不是蓋廠吧 綠能？ 10/25 14:57

→ icecubes    : 台積電去加拿大設廠應該比美國好搞 10/25 14:58

→ rebel       : 太難了 整體產業上下游加應該是比美更少 好歹I皇自 10/25 15:01

→ rebel       : 己有廠 多少有些產業鍊 10/25 15:01

推 jacvky      : 幹嘛理柵欄版眾說啥，智商堪慮者沒必要在意 10/25 15:03

推 videoproblem: 遠離支共保平安 10/25 15:12

推 hicoy       : 之前的租稅協議就少扣很多股息稅了 10/25 15:15

→ hicoy       : 會說賺不到了 不是笨就是壞了 10/25 15:15

→ hicoy       : 加拿大不少高股息的股票 10/25 15:15

推 night957    : 馬時期簽的 你的薪水有加10萬嗎？不只沒加還倒退成 10/25 15:22

→ night957    : 22k 10/25 15:22

推 linfon00    : 買楓糖不用關稅 10/25 16:28

推 catboost    : 簽了ECFA=22k八卦仔薪資 10/25 17:34

推 ManiaX      : 柵欄的協定只有他們祖國的ECFA才算，到現在月薪有1 10/25 19:14

→ ManiaX      : 0萬嗎？ 10/25 19:14

推 paul666666  : 加拿大對台灣真友善，哪像美國FTA要簽不簽的 10/25 22:07

→ WYchuang    : 大家一起去育空淘金啦 10/26 02:36

→ x001611     : 錢只會噴出去 沒下文 10/26 11:29

推 g801109g    : 八卦會說沒用 科 10/26 13:49
