作者steveisaman (who is the man)看板Stock標題[情報] 1227 上市櫃外資投信同買排行時間Thu Dec 28 00:38:40 2023

排行   股票名稱    成交    漲跌   投信買   外資買

1      2303聯電    53.5    +2.7    4900     94565
2      2891中信金  28.1    +0.1    4162     4115
3      2408南亞科  79.7    +1.7    2932     207
4      2337旺宏    31.95   +1.05   2893     242
5      2352佳世達  45.6    +0.5    1647     2132
6      2344華邦電  29.75   +0.8    1479     29937
7      4938和碩    89.5    +1.5    1375     1966
8      2357華碩    491.5   +19.5   1238     993
9      2317鴻海    103.5   -0.5    1107     1993
10     6239力成    143.5   -4.5    1006     118
11     6138茂達    223     +11      679     456
12     1795美時    269.5   +5.5     666     1110
13     3006晶豪科  106.5   +7.5     541     9828
14     6719力智    302.5   +18      530     895
15     2606裕民    52.8    +0.2     508     120

資料來源：https://tinyurl.com/xratrhts

以上 謝謝

推 zxp86312    : 二哥被買爆 12/28 00:43

→ aika5512308 : 和碩怎麽快90了 12/28 04:22
