作者Alison5566 (艾利森)看板Stock標題[新聞] 路透：輝達延後推出中國版AI晶片時間Fri Nov 24 23:42:10 2023

推 yungchan    : 真的被拜登搞死 11/24 23:51

推 Cliffx      : 崩 11/24 23:51

推 fly5566     : 改規格本來就需要時間不是嗎0.0? 11/25 00:02

噓 k85564      : 法說不就這樣說嗎... 11/25 00:03

噓 corner3500  : 星期一一件賣出來的及嗎QQ 11/25 00:13

→ baka1412    : https://i.imgur.com/j0Rjb2q.jpg 11/25 00:14

噓 moike22     : 又想吃貨 11/25 00:14

推 JKCCF       : 財報老黃就說過了 11/25 00:28

→ Justisaac   : 知道為什麼L20可以賣但H20要延後嗎XD 11/25 00:33

→ Justisaac   : 先原價賣次次等品 然後再加價賣次等品，不香嗎? 11/25 00:34

推 cruisewu2003: 逃啊 要A散戶了 11/25 01:09

推 lifeowner   : 低能智障:百度買的是910 四年前的設計 11/25 08:40

推 gbman       : AI崩盤CC 11/25 09:26

推 PoloHuang   : 切不下去了嗎 11/25 09:38

推 mike7689    : 其實雙方都用中介人交易就好了 單方面使用中介公司 11/25 18:42

→ mike7689    : 交易很容易被抓 11/25 18:42

推 mike7689    : 北韓和伊朗都已經示範給你看了 11/25 18:42

→ mike7689    : 如果今天中國透過第三國中介公司跟n社交易 或是反 11/25 18:44

→ mike7689    : 過來n社找中介公司賣貨給中國 這種稱為單向跟容易 11/25 18:44

→ mike7689    : 被抓 11/25 18:44

→ mike7689    : 雙方都要各自透過中介人買賣 金流和物品流向就是莫 11/25 18:46

→ mike7689    : 名奇妙的中介人A對另一個莫名其妙的中介人B 11/25 18:46

→ mike7689    : 金錢利益的誘惑很大 檯面下一定一堆美國企業這樣搞 11/25 18:47

推 quartics    : 樓上以為美國這些上市公司敢這樣搞去得罪美國政府 11/26 11:22

→ quartics    : 也太愚蠢！ 11/26 11:22

→ AirLee      : 降版這麼容易嗎？以為跟asus在出筆電一樣哦。 11/26 15:38
