作者banbee100 (BB)看板Stock標題[新聞] 2022台灣人均GDP 首度超車南韓時間Mon Jan 30 17:25:27 2023
推 qwe78971    : 扣掉房地產至少落後30% 01/30 17:26

噓 AllBlack    : 是喔 日本都要被台灣超越了 還在說短期現象 01/30 17:26

→ AllBlack    : 日媒可憐啊 01/30 17:26

噓 dergnj      : 好猛 台灣no1 東亞之霸  大家不要在羨慕別人了 01/30 17:27

→ dergnj      : 我們台灣真的太猛了 01/30 17:27

→ badgreen    : 無感啦，不要講數字XD 01/30 17:28

噓 icou        : 喔 好喔 20年來 01/30 17:29

推 njnjy       : 叫韓國也扣掉房地產啊 01/30 17:29

推 piliwu      : 韓國要反超很難啦韓圜那麼弱 01/30 17:29

推 elvissheng  : 台灣錢淹腳目啦 01/30 17:29

→ piliwu      : 韓國近期有嚴重外匯流失問題 01/30 17:31

推 xm3u4vmp6   : 台灣人就有錢到爆啊 01/30 17:31

→ obdv        : 地獄朝鮮 跟地獄比只有慘吧 01/30 17:31

→ xm3u4vmp6   : 隨便路人年薪千萬資產破億 01/30 17:31

→ xm3u4vmp6   : 你走在路上 隨便撞到百億身家 01/30 17:32

→ kinki999    : 韓國起薪五萬多，科科 01/30 17:32

→ xm3u4vmp6   : 韓國首富只能幫龍山寺遊民買菸 01/30 17:33

推 stupidHNG   : 有錢人多拉高的，不然非電子業年薪百萬很簡單嗎？ 01/30 17:33

推 badgreen    : 選擇比努力重要，韓國大概知道不能再繼續畫三角形了 01/30 17:33

→ lookinto    : 標題寫首度超車是錯的 台灣在2002年以前 人均GDP都 01/30 17:33

→ lookinto    : 是贏南韓 2003年以後才輸南韓 01/30 17:33

推 piliwu      : 非電子百萬很簡單啊，我家族這一輩都有 01/30 17:33

噓 QQ112233    : 薪水差那麼多 01/30 17:34

→ DIDIMIN     : 台灣人得了一種被讚美、數據好看會渾身不對勁的病 01/30 17:34

推 Refauth     : 台灣房地產泡沫只要一被戳破，台灣直接變成最慘國 01/30 17:34

→ badgreen    : 每個國家幾乎都是有錢人拉高的啊 01/30 17:34

推 xm3u4vmp6   : 在場應該都有破億吧？ 01/30 17:34

→ piliwu      : 韓國你不進大企業才是真正慘，台灣非電子業一大堆 01/30 17:35

→ piliwu      : 機會 01/30 17:35

→ badgreen    : 傳產有，多的是，但不是沒幾年的新人 01/30 17:35

推 hellk       : 對不起 我拉低了平均 我晚上切腹 01/30 17:35

→ badgreen    : 夜市有些都破百，小生意又不用開發票 01/30 17:36

→ piliwu      : 股版起碼都出社會十年以上在這邊叫低薪真的科科 01/30 17:36

→ badgreen    : 菜市場有攤子的都有 01/30 17:36

噓 Ayasaki0916 : 奇怪台灣落後韓國酸合理,超車韓國也在酸是精神分裂? 01/30 17:38

噓 daniel955377: 本來就贏韓國 彭淮南壓低匯率才輸的 01/30 17:38

推 suntw       : 逆差1.4兆台幣https://i.imgur.com/nwDF4Dg.jpg 01/30 17:38

