作者Alison5566 (艾利森)看板Stock標題[新聞] 日盛：台股明年牛市續行 Q4有望挑戰18700時間Wed Dec 20 12:33:43 2023

推 livewater   : 當大家都是87 12/20 12:34

推 kevin31a2   : 幾篇了...很急 12/20 12:34

推 free120     : 才萬八 其他人都喊2萬了 12/20 12:35

推 w08445566   : 空手的著急了 多單的穩了 放空的加大力道空 贏家是 12/20 12:36

→ w08445566   : 誰啊 可以改放定存了嗎 12/20 12:36

推 PitzMan     : 到Q4 18700那也才一千點空間...Q1Q2Q3呢?~0.0 12/20 12:37

→ PitzMan     : Q1 預估15500怎麼不highlight一下XD 12/20 12:37

→ deangogi    : 看這麼低 完蛋.... 12/20 12:39

噓 twerk       : 上次這樣喊後來怎樣大家也知道了 好了啦 12/20 12:43

→ baka1412    : https://i.imgur.com/6wWHlY8.jpg 12/20 12:45

推 darkangel119: 18787不是更好 12/20 13:17

→ ting74942   : 選完就知道了，現在大家隨便喊啦 12/20 13:29

噓 dai3345678  : 太快喊了吧......太急了 12/20 13:37

推 kducky      : 日盛還在？ 不是被富邦併了？ 12/20 13:39

→ cityport    : 這是日盛投信啦..日盛投顧被富邦買下後已經不見了 12/20 13:50

噓 sdf0419     : 87000 12/20 13:57

推 susanna026  : 覺得 大概已經出貨吧？ 12/20 14:03

推 simonown    : 等等 下去2100上去1100欸 12/20 14:13

推 YumingHuang : 丸啦 12/20 15:08

推 clusis      : 一年才漲一千點，6%？後宮真難賺 12/20 15:28

推 kevin05233  : 呵 Q4 ~所以Q1,Q2崩回8523、Q3反彈嘍 12/20 17:02

推 cedric0928  : 對啊，怎麼還有日盛？ 12/20 17:08

→ qaz12453    : 原來投信還在 還以為全部被吃咧= = 12/20 22:36

推 hundwn      : 日盛投信後來就跟日盛金控沒關係啊 12/21 08:58
