作者VANNN ()看板Stock標題[新聞] 寧德時代發表「神行」新快充電池時間Thu Aug 17 17:33:57 2023
推 zzzbear     : 這名字也太中二了吧... 08/17 17:35

推 soloyi      : 崩崩崩 08/17 17:36

→ cccict      : 這速度有充電樁的功率跟的上嗎？ 08/17 17:36

→ stocktonty  : 日日野晴矢 08/17 17:40

→ Lionvjm95   : 名字聽起來很猛哦 08/17 17:43

→ cedca       : 神行少女 08/17 17:44

→ aisme21     : 中國的吹噓，不敢領教 08/17 17:45

推 foreverFF   : 想到薩爾達電池 08/17 17:45

推 joe2        : 背後拿出平底鍋 08/17 17:46

→ bbcer       : 水滸傳天速星神行太保戴宗 08/17 17:47

推 pisu        : 我以為是中國電影名稱，zzzz 08/17 18:03

推 tallhand    : 寧德時代是其他國家求他去蓋廠 08/17 18:08

→ mema        : 如果這麼行早就壟斷市場，也不用給別人用了 08/17 18:14

→ mema        : 自己做不就好了 08/17 18:14

→ ivan710110  : 看到那麼多人看雖寧德時代我就放心了，代表有滿滿的 08/17 18:15

→ ivan710110  : 韭菜給大家割 08/17 18:15

推 ggirls      : 明明中國電池世界強。但我站挺日本隊，日女惹人憐 08/17 18:25

→ ggirls      : 愛。 08/17 18:25

→ iasepai     : 也不知道是什麼車跑400公里 08/17 18:26

推 godog       : 以前有部漫畫叫神行太保 08/17 18:30

推 jvor0719    : 中一直贏 是不是開掛啊？ 08/17 18:40

推 kohanchen   : 與神同行 08/17 18:48

推 SA01        : 台灣電池相較之下超廢的 08/17 18:55

→ taiwanno123 : 是說爆炸升天的速度嗎 08/17 18:58

推 aegis43210  : 電池技術也是靠輪班，西台灣肝臟也不輸臺灣的 08/17 19:15

→ aegis43210  : 臺灣輪班星人大部份去半導體，這塊是追不上了，也不 08/17 19:16

→ aegis43210  : 可能樣樣好 08/17 19:16

→ aegis43210  : 但市場期待的是鈉離子電池這個儲能聖盃 08/17 19:17

推 owennice    : 與神同行電池，用善事來充電 08/17 20:00

推 clusis      : 才400公里，台北到高雄還要中途找充電 08/17 20:15

推 magamanzero : 400很可以了 問題是壽命哩? 08/17 20:35

推 nfsong      : 有點猛 08/17 21:15

推 godog       : 滿電約700公里 400公里是指充電10分鐘可跑的距離 08/17 21:25

→ tedcat      : 平底鍋是神行太保是吧XD有同年紀同好阿 08/17 21:50

推 Kysol9      : 神行太保 08/17 22:00

推 THE7088     : 我大台半還不噴飛 08/17 23:29

→ seanidiot   : 功率應該滿可觀的 08/17 23:37

→ phost       : 裡頭是不是放了金柯拉 08/18 01:48
